OrderID,OrderDate,CustomerID,StoreID,EmployeeID,PromotionID,PaymentMethod,ShippingMethod,OrderStatus
44,2023-07-28 00:00:00,3183,27,317,,Bank Transfer,Standard,Shipped
45,2023-11-25 00:00:00,5209,29,331,,PayPal,Standard,Returned
46,2024-12-01 00:00:00,696,13,152,,Bank Transfer,Standard,Delivered
47,2023-09-17 00:00:00,7413,5,49,,,Next Day,Delivered
48,2025-09-10 00:00:00,5385,20,238,,PayPal,Standard,Packed
49,2022-10-18 00:00:00,6549,18,207,,Bank Transfer,Next Day,Delivered
50,2024-12-17 00:00:00,3554,17,204,,Mastercard,Standard,Delivered
51,2023-10-03 00:00:00,1971,9,100,,Google Pay,Express,Delivered
52,2023-10-11 00:00:00,499,18,211,,Bank Transfer,Express,Shipped
53,2024-08-11 00:00:00,4234,22,261,,Apple Pay,Next Day,Delivered
54,2024-03-06 00:00:00,154,18,207,,Apple Pay,Standard,Pending
55,2023-09-20 00:00:00,3879,1,3,,Google Pay,Next Day,Delivered
56,2022-01-05 00:00:00,4247,18,205,,Google Pay,Next Day,Shipped
57,2022-06-25 00:00:00,466,26,297,,Mastercard,Standard,Delivered
58,2024-11-25 00:00:00,4602,2,14,,Visa,Standard,Shipped
59,2024-03-08 00:00:00,4966,11,130,,Google Pay,Standard,Cancelled
60,2024-11-14 00:00:00,6614,9,104,,Apple Pay,Next Day,Delivered
61,2025-11-23 00:00:00,2127,23,271,,Google Pay,Standard,Shipped
62,2024-10-22 00:00:00,3622,5,55,,PayPal,Standard,Cancelled
63,2022-04-29 00:00:00,5485,8,91,,PayPal,Standard,Returned
64,2023-05-09 00:00:00,3000,5,60,,Mastercard,Express,Delivered
65,2024-06-25 00:00:00,772,15,172,,Apple Pay,Express,Delivered
66,2022-12-13 00:00:00,4224,22,255,2.0,Apple Pay,Express,Delivered
67,2025-11-29 00:00:00,5916,7,78,,PayPal,Standard,Delivered
68,2025-11-13 00:00:00,149,18,212,,Apple Pay,Express,Shipped
69,2025-07-02 00:00:00,527,20,233,,Visa,Standard,Delivered
70,2023-12-03 00:00:00,7422,3,29,,Mastercard,Express,Returned
71,2025-06-24 00:00:00,5538,5,55,,PayPal,Express,Delivered
72,2022-08-08 00:00:00,5738,18,213,,PayPal,Standard,Delivered
73,2023-05-09 00:00:00,2204,2,24,26.0,Visa,Next Day,Delivered
74,2023-11-27 00:00:00,546,26,300,7.0,PayPal,Standard,Shipped
75,2024-12-18 00:00:00,3423,1,6,,,Next Day,Delivered
76,2023-12-13 00:00:00,897,2,21,,Mastercard,Express,Delivered
77,2022-08-14 00:00:00,5151,6,64,,PayPal,Next Day,Returned
78,2023-06-26 00:00:00,5507,7,77,,Mastercard,Express,Delivered
79,2023-06-04 00:00:00,303,26,296,,Visa,Standard,Returned
80,2023-04-24 00:00:00,4213,17,201,,,Standard,Shipped
81,2022-09-21 00:00:00,3541,4,47,,Bank Transfer,Express,Packed
82,2023-09-20 00:00:00,2522,27,313,,Bank Transfer,Standard,Delivered
83,2023-11-18 00:00:00,5790,11,124,,Bank Transfer,Next Day,Delivered
84,2025-03-09 00:00:00,6857,13,150,,Mastercard,Standard,Delivered
85,2025-04-17 00:00:00,454,21,245,,Visa,Next Day,Delivered
86,2024-03-05 00:00:00,2310,28,326,,Google Pay,Standard,Cancelled
87,2023-11-26 00:00:00,1291,10,109,,PayPal,Express,Delivered
88,2025-03-15 00:00:00,4482,9,102,,PayPal,Standard,Delivered
89,2025-08-15 00:00:00,1499,29,333,,Visa,Express,Delivered
90,2024-10-08 00:00:00,5375,3,32,,Mastercard,Standard,Shipped
91,2025-04-24 00:00:00,1179,25,285,28.0,Apple Pay,Next Day,Delivered
92,2025-11-02 00:00:00,5159,13,145,,Mastercard,Standard,Pending
93,2022-04-06 00:00:00,5866,17,195,,Google Pay,Express,Returned
94,2025-08-03 00:00:00,1225,11,132,,PayPal,Next Day,Pending
95,2023-03-12 00:00:00,6843,21,243,,Bank Transfer,Next Day,Pending
96,2023-12-06 00:00:00,4142,14,168,,Mastercard,Next Day,Returned
97,2025-04-17 00:00:00,6592,17,202,,Visa,Next Day,Pending
98,2024-11-30 00:00:00,5267,26,306,,Mastercard,Standard,Delivered
99,2022-08-31 00:00:00,860,2,15,,Apple Pay,Express,Packed
100,2024-09-12 00:00:00,4354,2,23,,Bank Transfer,Standard,Shipped
101,2022-05-27 00:00:00,575,9,97,,Bank Transfer,Next Day,Packed
102,2023-07-13 00:00:00,6110,3,35,,Bank Transfer,Express,Delivered
103,2025-05-16 00:00:00,1924,26,297,,Bank Transfer,Standard,Delivered
104,2023-10-13 00:00:00,4047,24,284,,Apple Pay,Standard,Shipped
105,2024-07-04 00:00:00,5055,30,350,15.0,Bank Transfer,Next Day,Delivered
106,2024-12-07 00:00:00,2081,3,34,,Bank Transfer,Next Day,Cancelled
107,2025-05-31 00:00:00,103,10,118,,Apple Pay,Standard,Shipped
108,2025-02-01 00:00:00,1784,9,107,,Bank Transfer,Express,Delivered
109,2022-01-22 00:00:00,3817,23,271,,Apple Pay,Standard,Packed
110,2023-09-30 00:00:00,3875,7,77,,Visa,Express,Shipped
111,2023-11-27 00:00:00,3682,3,33,,PayPal,Express,Delivered
112,2022-05-03 00:00:00,740,9999,343,,Mastercard,Next Day,Packed
113,2024-04-08 00:00:00,7266,9,102,17.0,Visa,Next Day,Delivered
114,2024-07-13 00:00:00,3983,8,92,,Apple Pay,Standard,Delivered
115,2025-06-09 00:00:00,3322,1,8,,PayPal,Next Day,Delivered
116,2025-11-07 00:00:00,991,14,162,,PayPal,Standard,Delivered
117,2022-08-06 00:00:00,984,25,290,,Mastercard,Next Day,Delivered
118,2022-12-09 00:00:00,533,29,333,,Apple Pay,Express,Pending
119,2024-09-12 00:00:00,6191,3,30,,PayPal,Standard,Delivered
120,2022-08-10 00:00:00,2340,4,37,,Bank Transfer,Standard,Delivered
121,2022-12-04 00:00:00,1556,9,103,,PayPal,Express,Delivered
122,2024-06-04 00:00:00,7174,26,306,,Google Pay,Next Day,Delivered
123,2022-09-28 00:00:00,6000,24,275,,Apple Pay,Express,Pending
124,2025-03-22 00:00:00,2345,25,287,,Apple Pay,Standard,Packed
125,2025-07-12 00:00:00,2816,5,51,,PayPal,Express,Delivered
126,2023-02-30,2465,24,284,5.0,Apple Pay,Next Day,Cancelled
127,2024-03-23 00:00:00,1325,13,146,,Visa,Standard,Shipped
128,2025-04-18 00:00:00,3711,29,336,,PayPal,Express,Delivered
129,2025-12-05 00:00:00,744,5,57,,Mastercard,Express,Packed
130,2023-03-08 00:00:00,2117,3,30,,Google Pay,Standard,Delivered
131,2022-09-27 00:00:00,6110,24,280,,Google Pay,Standard,Delivered
132,2025-08-04 00:00:00,4081,9,102,,PayPal,Next Day,Delivered
133,2025-09-13 00:00:00,5158,5,59,,Mastercard,Standard,Delivered
134,2022-11-17 00:00:00,5291,29,332,,Apple Pay,Express,Delivered
135,2023-11-06 00:00:00,3484,28,318,,Bank Transfer,Express,Pending
136,2024-12-01 00:00:00,6764,16,181,,Google Pay,Express,Shipped
137,2025-06-29 00:00:00,4280,8,86,21.0,Bank Transfer,Standard,Returned
138,2022-09-26 00:00:00,7331,23,273,,Apple Pay,Standard,Packed
139,2024-09-20 00:00:00,1030,25,285,,Mastercard,Next Day,Delivered
140,2025-05-07 00:00:00,5133,21,245,,PayPal,Next Day,Cancelled
141,2024-04-22 00:00:00,999999,14,168,,Visa,Express,Packed
142,2022-09-20 00:00:00,1832,19,220,,Google Pay,Standard,Delivered
143,2022-03-28 00:00:00,2283,18,209,,PayPal,Next Day,Delivered
144,2023-03-21 00:00:00,2024,9999,189,,Visa,Express,Returned
145,2025-05-07 00:00:00,1591,21,245,,Apple Pay,Next Day,Cancelled
146,2022-04-14 00:00:00,5467,14,158,,Apple Pay,Express,Delivered
147,2022-01-25 00:00:00,5885,16,181,,Apple Pay,Express,Cancelled
148,2023-07-18 00:00:00,2393,13,148,,Bank Transfer,Next Day,Delivered
149,2022-05-17 00:00:00,2554,7,80,,Mastercard,Standard,Shipped
150,2022-09-03 00:00:00,2417,8,89,,Visa,Next Day,Shipped
151,2022-03-06 00:00:00,3974,20,231,,Apple Pay,Next Day,Delivered
152,2024-03-09 00:00:00,446,20,231,,Mastercard,Standard,Pending
153,2024-11-15 00:00:00,493,5,55,,Mastercard,Express,Shipped
154,2023-10-12 00:00:00,651,29,334,,Mastercard,Express,Delivered
155,2022-08-12 00:00:00,6114,6,71,,Apple Pay,Standard,Delivered
156,2023-06-12 00:00:00,2718,22,258,,Apple Pay,Standard,Delivered
157,2023-02-30,3443,1,2,15.0,Visa,Next Day,Returned
158,2025-11-05 00:00:00,6731,7,79,,PayPal,Express,Delivered
159,2025-12-18 00:00:00,3054,2,24,,Google Pay,Express,Delivered
160,2022-12-18 00:00:00,3888,11,126,,Visa,Next Day,Delivered
161,2022-02-01 00:00:00,334,8,95,,,Standard,Shipped
162,2025-06-11 00:00:00,7361,3,25,23.0,Google Pay,Express,Delivered
163,2025-10-11 00:00:00,5055,9,102,,Visa,Express,Returned
164,2023-11-25 00:00:00,2437,23,268,,Visa,Next Day,Returned
165,2025-03-03 00:00:00,536,20,239,,,Standard,Delivered
166,2025-07-23 00:00:00,6360,16,192,,Apple Pay,Express,Shipped
167,2024-07-15 00:00:00,4068,27,314,,Mastercard,Standard,Returned
168,2025-07-31 00:00:00,4975,10,120,,Mastercard,Express,Delivered
169,2022-03-08 00:00:00,4881,15,174,,Visa,Next Day,Delivered
170,2023-03-04 00:00:00,531,13,147,,Bank Transfer,Standard,Shipped
171,2023-03-14 00:00:00,3495,18,213,,Visa,Standard,Delivered
172,2022-07-29 00:00:00,3450,20,230,,Apple Pay,Next Day,Shipped
173,2025-09-14 00:00:00,3776,6,64,,Google Pay,Next Day,Delivered
174,2022-03-19 00:00:00,5443,24,282,,Visa,Express,Delivered
175,2024-10-03 00:00:00,2082,9,106,,Bank Transfer,Express,Delivered
176,2022-05-31 00:00:00,1257,15,172,31.0,PayPal,Next Day,Delivered
177,2023-07-17 00:00:00,2015,11,122,,Google Pay,Next Day,Delivered
178,2023-09-26 00:00:00,304,21,242,,Visa,Standard,Shipped
179,2023-02-30,7491,29,332,,PayPal,Standard,Delivered
180,2024-03-02 00:00:00,4920,8,86,,Google Pay,Standard,Delivered
181,2024-03-27 00:00:00,3680,12,141,,Google Pay,Express,Returned
182,2023-05-23 00:00:00,867,25,295,,Bank Transfer,Next Day,Returned
183,2024-12-14 00:00:00,2786,20,234,14.0,Mastercard,Standard,Delivered
184,2022-09-13 00:00:00,5339,9,97,,Mastercard,Standard,Delivered
185,2022-11-08 00:00:00,5088,14,167,,PayPal,Standard,Delivered
186,2023-07-09 00:00:00,519,2,20,,Apple Pay,Standard,Delivered
187,2023-08-06 00:00:00,4375,22,260,,Visa,Next Day,Delivered
188,2022-11-24 00:00:00,5471,13,156,1.0,PayPal,Express,Delivered
189,2025-09-27 00:00:00,2927,10,120,,Apple Pay,Express,Delivered
190,2025-06-08 00:00:00,3201,28,323,,Bank Transfer,Express,Delivered
191,2022-07-12 00:00:00,3472,1,7,,Visa,Standard,Delivered
192,2023-07-27 00:00:00,1332,19,88888,,Mastercard,Standard,Delivered
193,2022-12-11 00:00:00,7454,18,207,,Apple Pay,Standard,Pending
194,2023-11-21 00:00:00,1407,20,234,,Mastercard,Express,Delivered
195,2023-03-12 00:00:00,550,6,69,,Visa,Express,Shipped
196,2024-01-07 00:00:00,6860,25,288,,Visa,Express,Delivered
197,2025-10-04 00:00:00,3178,2,22,,Visa,Next Day,Pending
198,2023-08-10 00:00:00,7018,23,265,,Mastercard,Next Day,Delivered
199,2024-09-03 00:00:00,1499,20,232,,Google Pay,Standard,Delivered
200,2024-06-29 00:00:00,1009,13,153,15.0,Mastercard,Standard,Returned
201,2025-01-06 00:00:00,4607,27,310,,Bank Transfer,Standard,Cancelled
202,2022-05-14 00:00:00,4507,27,312,30.0,Bank Transfer,Express,Cancelled
203,2024-12-20 00:00:00,3488,14,161,,Apple Pay,Next Day,Delivered
204,2025-11-15 00:00:00,192,15,177,,Visa,Next Day,Shipped
205,2024-07-08 00:00:00,5068,15,172,,Apple Pay,Standard,Shipped
206,2023-04-01 00:00:00,2938,13,146,,Apple Pay,Express,Delivered
207,2024-10-03 00:00:00,5383,26,303,,Visa,Standard,Cancelled
208,2024-11-27 00:00:00,2571,5,50,,Bank Transfer,Next Day,Delivered
209,2024-09-09 00:00:00,5348,2,21,,Mastercard,Standard,Delivered
210,2022-08-31 00:00:00,898,20,240,,Mastercard,Standard,Shipped
211,2025-12-04 00:00:00,5908,10,111,,Mastercard,Standard,Delivered
212,2025-11-23 00:00:00,7345,20,233,,Google Pay,Express,Shipped
213,2023-10-07 00:00:00,3934,5,53,,Mastercard,Next Day,Delivered
214,2024-06-27 00:00:00,302,20,237,15.0,Mastercard,Standard,Delivered
215,2022-04-05 00:00:00,5568,6,71,,PayPal,Express,Delivered
216,2025-12-15 00:00:00,5213,26,300,20.0,PayPal,Express,Packed
217,2025-05-26 00:00:00,7341,17,202,,Visa,Express,Packed
218,2024-08-14 00:00:00,3044,21,247,,PayPal,Express,Delivered
219,2025-02-02 00:00:00,6264,19,219,,Visa,Express,Delivered
220,2022-10-31 00:00:00,396,6,70,,PayPal,Next Day,Delivered
221,2023-05-07 00:00:00,7130,10,119,,Google Pay,Next Day,Delivered
222,2022-12-22 00:00:00,1816,24,274,,Mastercard,Express,Pending
223,2024-06-29 00:00:00,2983,21,247,,Visa,Standard,Shipped
224,2022-06-25 00:00:00,183,8,94,,Visa,Standard,Packed
225,2025-08-29 00:00:00,4376,12,137,22.0,Mastercard,Express,Pending
226,2023-11-27 00:00:00,5112,10,118,7.0,Apple Pay,Standard,Delivered
227,2023-11-12 00:00:00,3694,1,4,,Visa,Standard,Cancelled
228,2022-07-10 00:00:00,3293,5,59,,PayPal,Standard,Delivered
229,2024-10-25 00:00:00,4872,21,249,,Bank Transfer,Next Day,Shipped
230,2025-05-23 00:00:00,2036,20,237,,Mastercard,Standard,Delivered
231,2024-08-07 00:00:00,1521,2,21,,Mastercard,Standard,Delivered
232,2022-12-18 00:00:00,1166,30,341,2.0,Apple Pay,Standard,Shipped
233,2025-03-28 00:00:00,5256,20,239,,Apple Pay,Next Day,Delivered
234,2022-08-29 00:00:00,7286,17,197,4.0,Bank Transfer,Express,Returned
235,2025-06-07 00:00:00,3578,18,205,,Bank Transfer,Express,Delivered
236,2024-06-11 00:00:00,1851,24,284,,Visa,Express,Delivered
237,2023-04-04 00:00:00,7302,21,241,,Bank Transfer,Next Day,Delivered
238,2024-02-10 00:00:00,5618,23,263,38.0,Google Pay,Express,Delivered
239,2024-08-06 00:00:00,4157,21,244,,Visa,Standard,Delivered
240,2023-01-26 00:00:00,1662,29,332,,Mastercard,Next Day,Delivered
241,2025-06-30 00:00:00,3109,7,79,21.0,Bank Transfer,Next Day,Cancelled
242,2023-10-01 00:00:00,6879,27,315,,Google Pay,Next Day,Delivered
243,2025-08-23 00:00:00,5937,28,318,,Mastercard,Next Day,Delivered
244,2025-06-17 00:00:00,4796,26,299,,Visa,Next Day,Delivered
245,2022-07-03 00:00:00,5096,5,49,3.0,Mastercard,Express,Delivered
246,2024-08-30 00:00:00,5674,23,263,16.0,Bank Transfer,Next Day,Delivered
247,2023-05-12 00:00:00,539,23,264,,Google Pay,Express,Delivered
248,2025-01-12 00:00:00,541,27,315,,Bank Transfer,Express,Delivered
249,2024-04-10 00:00:00,283,8,88,17.0,Bank Transfer,Standard,Returned
250,2023-11-25 00:00:00,1087,21,251,7.0,Visa,Next Day,Delivered
251,2025-08-28 00:00:00,172,10,114,22.0,PayPal,Express,Delivered
252,2022-05-06 00:00:00,7458,2,24,,PayPal,Next Day,Shipped
253,2024-05-06 00:00:00,254,16,185,,Apple Pay,Standard,Shipped
254,2023-06-08 00:00:00,5773,17,194,,Visa,Next Day,Packed
255,2022-03-28 00:00:00,745,7,84,,Google Pay,Express,Delivered
256,2025-01-11 00:00:00,2363,14,157,,Visa,Standard,Delivered
257,2024-05-14 00:00:00,6528,16,182,,Mastercard,Express,Pending
258,2025-08-26 00:00:00,999999,12,141,22.0,Mastercard,Next Day,Delivered
259,2024-07-02 00:00:00,4017,16,183,15.0,Bank Transfer,Next Day,Delivered
260,2023-06-19 00:00:00,3288,21,246,,,Next Day,Delivered
261,2025-12-13 00:00:00,2484,14,167,20.0,PayPal,Express,Packed
262,2022-07-23 00:00:00,7242,17,195,,Bank Transfer,Standard,Shipped
263,2022-04-28 00:00:00,5647,5,57,,Google Pay,Next Day,Delivered
264,2024-12-11 00:00:00,7111,12,142,14.0,Apple Pay,Next Day,Packed
265,2023-07-29 00:00:00,3595,24,279,,Bank Transfer,Express,Pending
266,2023-07-18 00:00:00,5266,8,87,,Bank Transfer,Standard,Shipped
267,2025-08-04 00:00:00,5761,7,77,,Google Pay,Standard,Returned
268,2023-06-07 00:00:00,4939,5,52,,Google Pay,Express,Delivered
269,2025-08-17 00:00:00,2120,8,90,,Bank Transfer,Standard,Delivered
270,2024-08-26 00:00:00,1216,22,253,16.0,PayPal,Next Day,Delivered
271,2023-06-09 00:00:00,5227,14,161,,Visa,Express,Delivered
272,2022-05-10 00:00:00,104,29,335,,Apple Pay,Express,Cancelled
273,2022-12-20 00:00:00,2427,8,93,,Apple Pay,Standard,Delivered
274,2025-11-30 00:00:00,46,9,106,,Bank Transfer,Standard,Shipped
275,2023-09-09 00:00:00,5302,23,272,,Apple Pay,Standard,Cancelled
276,2022-09-13 00:00:00,6342,24,284,,Bank Transfer,Next Day,Pending
277,2023-04-20 00:00:00,5256,28,321,,Visa,Express,Shipped
278,2025-09-03 00:00:00,802,11,125,,Apple Pay,Standard,Delivered
279,2022-09-20 00:00:00,6959,23,273,,Apple Pay,Express,Shipped
280,2025-03-15 00:00:00,4246,1,10,,Bank Transfer,Next Day,Delivered
281,2022-08-12 00:00:00,88,29,339,,Apple Pay,Express,Delivered
282,2025-11-26 00:00:00,1318,2,17,,Bank Transfer,Standard,Shipped
283,2024-03-19 00:00:00,3742,12,134,,Google Pay,Standard,Returned
284,2022-04-11 00:00:00,6493,16,189,,PayPal,Next Day,Delivered
285,2025-10-19 00:00:00,1722,14,168,,Bank Transfer,Standard,Delivered
286,2023-07-14 00:00:00,5030,17,194,,PayPal,Next Day,Delivered
287,2024-12-10 00:00:00,504,9,101,,Visa,Standard,Delivered
288,2024-03-07 00:00:00,5529,30,346,,PayPal,Next Day,Delivered
289,2022-06-25 00:00:00,4318,4,40,32.0,Mastercard,Express,Shipped
290,2022-07-11 00:00:00,6362,7,75,,Visa,Next Day,Delivered
291,2022-09-03 00:00:00,1852,16,191,,Mastercard,Express,Cancelled
292,2022-09-14 00:00:00,2412,21,247,,Google Pay,Next Day,Delivered
293,2022-04-28 00:00:00,6969,25,292,,Mastercard,Express,Returned
294,2022-04-18 00:00:00,3491,13,155,,Bank Transfer,Standard,Shipped
295,2025-11-19 00:00:00,2933,1,12,,Mastercard,Next Day,Delivered
296,2022-06-24 00:00:00,999999,11,128,,Bank Transfer,Standard,Cancelled
297,2024-01-26 00:00:00,2484,29,334,,Apple Pay,Standard,Delivered
298,2022-07-26 00:00:00,6423,27,316,,,Next Day,Delivered
299,2022-11-28 00:00:00,1719,21,250,1.0,Visa,Next Day,Delivered
300,2025-02-08 00:00:00,1170,9,106,,,Standard,Returned
301,2025-11-01 00:00:00,1709,15,174,,Apple Pay,Next Day,Delivered
302,2023-12-02 00:00:00,6401,20,240,,Visa,Next Day,Packed
303,2022-01-17 00:00:00,1617,26,306,,Apple Pay,Next Day,Delivered
304,2025-12-29 00:00:00,3593,17,194,,Bank Transfer,Standard,Packed
305,2022-04-19 00:00:00,6776,4,41,,Mastercard,Express,Shipped
306,2023-08-18 00:00:00,7418,18,205,,Mastercard,Next Day,Shipped
307,2024-04-03 00:00:00,4912,8,92,,Bank Transfer,Standard,Delivered
308,2025-08-22 00:00:00,4609,27,312,,Apple Pay,Next Day,Delivered
309,2025-06-02 00:00:00,3431,27,314,,Bank Transfer,Standard,Delivered
310,2024-07-15 00:00:00,234,21,246,,Visa,Next Day,Delivered
311,2023-09-02 00:00:00,770,22,257,,Google Pay,Express,Shipped
312,2025-06-16 00:00:00,5123,25,287,21.0,Mastercard,Express,Delivered
313,2025-07-27 00:00:00,3888,28,328,,Google Pay,Next Day,Returned
314,2025-07-30 00:00:00,2802,30,343,,Apple Pay,Express,Packed
315,2024-11-30 00:00:00,6781,2,17,,Apple Pay,Express,Delivered
316,2022-07-02 00:00:00,2825,17,197,,Mastercard,Next Day,Shipped
317,2023-04-21 00:00:00,2598,26,297,,Bank Transfer,Express,Delivered
318,2023-12-13 00:00:00,3268,19,227,8.0,Bank Transfer,Next Day,Delivered
319,2024-01-16 00:00:00,2461,18,214,,Visa,Standard,Delivered
320,2025-06-14 00:00:00,5391,7,80,,Visa,Next Day,Packed
321,2022-12-15 00:00:00,5135,20,235,,Bank Transfer,Next Day,Cancelled
322,2024-09-19 00:00:00,324,20,239,,Bank Transfer,Next Day,Shipped
323,2023-08-02 00:00:00,1486,21,243,,Visa,Express,Returned
324,2025-03-10 00:00:00,7143,4,47,,Mastercard,Express,Packed
325,2022-11-14 00:00:00,1514,23,267,,Apple Pay,Standard,Delivered
326,2023-12-07 00:00:00,4738,1,7,,Visa,Express,Packed
327,2022-07-09 00:00:00,6339,17,193,,Apple Pay,Next Day,Cancelled
328,2022-11-27 00:00:00,116,30,346,,Bank Transfer,Express,Pending
329,2025-10-26 00:00:00,3895,19,227,,Apple Pay,Next Day,Delivered
330,2023-05-22 00:00:00,7339,3,35,,Mastercard,Next Day,Delivered
331,2025-08-24 00:00:00,7033,14,157,22.0,,Standard,Delivered
332,2024-03-08 00:00:00,5893,5,56,,,Standard,Shipped
333,2022-04-03 00:00:00,2998,24,276,,Bank Transfer,Next Day,Cancelled
334,2025-04-11 00:00:00,691,28,320,,PayPal,Next Day,Packed
335,2022-04-26 00:00:00,7291,23,270,,PayPal,Standard,Returned
336,2025-06-07 00:00:00,3187,2,13,23.0,PayPal,Express,Returned
337,2022-01-27 00:00:00,6840,20,231,,Apple Pay,Next Day,Delivered
338,2024-10-06 00:00:00,5962,11,126,,Apple Pay,Express,Cancelled
339,2022-09-21 00:00:00,957,6,63,,PayPal,Next Day,Delivered
340,2023-06-26 00:00:00,6375,21,247,,Apple Pay,Express,Returned
341,2025-11-22 00:00:00,497,19,222,,Google Pay,Next Day,Returned
342,2023-12-14 00:00:00,6810,26,305,8.0,Mastercard,Next Day,Delivered
343,2024-09-10 00:00:00,2017,19,223,,Apple Pay,Express,Cancelled
344,2024-12-17 00:00:00,1920,13,154,,Apple Pay,Express,Cancelled
345,2022-07-16 00:00:00,3462,1,6,,Mastercard,Next Day,Returned
346,2025-06-21 00:00:00,6650,29,329,21.0,Google Pay,Standard,Delivered
347,2025-09-18 00:00:00,7486,28,326,,Apple Pay,Express,Packed
348,2022-09-09 00:00:00,6533,3,33,,Apple Pay,Standard,Returned
349,2024-04-16 00:00:00,472,24,277,,Bank Transfer,Express,Shipped
350,2023-03-25 00:00:00,4804,23,266,,Visa,Express,Shipped
351,2024-12-17 00:00:00,2910,18,206,,Visa,Standard,Delivered
352,2022-03-15 00:00:00,7251,19,225,,Google Pay,Express,Shipped
353,2024-02-07 00:00:00,1576,17,202,38.0,Visa,Standard,Cancelled
354,2025-04-10 00:00:00,2941,10,114,,Apple Pay,Next Day,Delivered
355,2024-12-12 00:00:00,4041,8,85,,PayPal,Standard,Delivered
356,2022-07-14 00:00:00,999999,21,248,,PayPal,Next Day,Delivered
357,2025-06-14 00:00:00,169,12,137,,Visa,Standard,Delivered
358,2022-12-15 00:00:00,4647,28,327,,Mastercard,Express,Returned
359,2025-05-07 00:00:00,3661,9,103,,Google Pay,Next Day,Delivered
360,2023-12-25 00:00:00,3099,9,97,8.0,Visa,Standard,Delivered
361,2022-09-14 00:00:00,5781,2,21,,Apple Pay,Express,Delivered
362,2024-12-12 00:00:00,983,28,327,,Bank Transfer,Standard,Delivered
363,2025-05-07 00:00:00,736,11,130,,Bank Transfer,Next Day,Delivered
364,2024-11-19 00:00:00,3039,6,68,,Mastercard,Next Day,Delivered
365,2025-11-28 00:00:00,2884,6,61,,Visa,Next Day,Delivered
366,2023-01-19 00:00:00,4206,27,307,,Bank Transfer,Next Day,Cancelled
