ReturnID,OrderID,ReturnDate,ReturnReason,RefundAmount
57,44335,2024-06-19,Damaged,73.19
58,18360,2023-06-19,Late Delivery,922.36
59,22897,2022-07-11,Late Delivery,1231.2
60,15804,2022-11-16,Late Delivery,632.58
61,37725,2023-08-20,Faulty Product,79.99
62,15151,2024-08-08,Faulty Product,192.75
63,13998,2023-11-02,Late Delivery,160.1
64,30023,2022-09-16,Faulty Product,323.96
65,34532,2024-12-11,Late Delivery,293.79
66,32458,2025-11-26,Late Delivery,707.39
67,22503,2022-12-14,Damaged,1414.56
68,14419,2024-08-19,Faulty Product,887.06
69,25728,2022-09-09,Damaged,806.67
70,33150,2026-01-16,Faulty Product,506.86
71,3758,2025-05-26,Damaged,249.46
72,41671,2022-09-26,Wrong Item,1118.77
73,43185,2025-05-11,Faulty Product,276.72
74,39762,2023-12-06,Wrong Item,664.47
75,11794,2023-06-21,Wrong Item,733.02
76,42848,2025-09-01,Damaged,1181.73
77,48684,2022-10-31,Late Delivery,1680.98
78,42646,2025-07-12,Faulty Product,1057.02
79,22668,2022-05-28,Damaged,1790.41
80,32445,2024-07-21,Late Delivery,680.54
81,23596,2022-06-26,Late Delivery,1302.56
82,33125,2023-12-23,Late Delivery,859.72
83,28934,2022-11-06,Late Delivery,503.38
84,11497,2025-05-08,Faulty Product,1571.89
85,6359,2024-04-30,Faulty Product,501.58
86,6614,2023-10-13,Wrong Item,254.13
87,18606,2024-05-13,Changed Mind,1505.68
88,24647,2023-08-09,Faulty Product,432.57
89,37661,2022-01-31,Changed Mind,1083.44
90,31485,2024-05-06,Wrong Item,1295.5
91,38839,2023-01-14,Changed Mind,835.72
92,8117,2023-04-26,Late Delivery,831.41
93,13990,2024-06-24,Faulty Product,899.42
94,34606,2024-07-16,Wrong Item,742.77
95,9160,2026-01-03,Damaged,394.43
96,3093,2022-07-03,Wrong Item,215.22
97,15165,2023-07-06,Wrong Item,764.15
98,25901,2024-06-23,Faulty Product,78.11
99,37168,2025-12-19,Changed Mind,913.46
100,11663,2024-01-19,Changed Mind,775.26
101,26452,2022-05-10,Late Delivery,454.82
102,36072,2022-04-12,Faulty Product,775.33
103,26098,2023-05-23,Faulty Product,187.53
104,15311,2025-08-26,Faulty Product,1497.39
105,30852,2024-07-31,Faulty Product,909.07
106,39261,2022-04-27,Damaged,369.17
107,6774,2022-05-12,Damaged,184.27
108,39146,2023-08-22,Late Delivery,989.38
109,41677,2025-02-09,Changed Mind,708.87
110,5999,2025-10-04,Faulty Product,580.17
111,2711,2022-07-03,Damaged,286.06
112,9090,2024-03-12,Wrong Item,368.3
113,13469,2023-05-22,Wrong Item,1063.47
114,48008,2022-09-07,Wrong Item,944.53
115,40349,2025-06-13,Faulty Product,644.7
116,29496,2024-08-30,Damaged,1549.52
117,47671,2022-12-08,Changed Mind,1004.83
118,6885,2025-08-24,Changed Mind,998.33
119,37828,2024-08-26,Changed Mind,1012.41
120,511,2022-04-19,Wrong Item,610.96
121,36050,2024-10-17,Wrong Item,692.48
122,10517,2023-07-15,Damaged,289.15
123,44916,2022-08-03,Wrong Item,247.83
124,26052,2022-06-17,Damaged,1236.95
125,40603,2022-11-28,Faulty Product,281.97
126,13972,2022-09-30,Damaged,294.98
127,36987,2023-08-18,Faulty Product,336.32
128,48922,2025-06-17,Changed Mind,933.03
129,12276,2022-02-02,Late Delivery,1337.71
130,6123,2025-11-25,Late Delivery,118.73
131,25085,2023-07-13,Damaged,703.54
132,45054,2024-12-24,Damaged,694.92
133,20015,2026-01-07,Late Delivery,431.3
134,31658,2024-07-19,Late Delivery,285.79
135,13687,2026-01-13,Changed Mind,612.79
136,34033,2022-11-26,Wrong Item,128.04
137,23130,2023-11-22,Late Delivery,421.72
138,25136,2022-05-19,Late Delivery,225.12
139,33484,2025-12-17,Faulty Product,228.98
140,444444,2023-09-16,Faulty Product,1044.43
141,6750,2025-06-10,Wrong Item,544.11
142,21089,2024-08-31,Changed Mind,897.37
143,28130,2022-04-28,Changed Mind,1191.38
144,42268,2023-01-29,Damaged,867.73
145,31200,2022-12-15,Wrong Item,823.57
146,27417,2022-11-25,Changed Mind,1013.11
147,43992,2024-05-21,Wrong Item,173.29
148,17664,2024-12-09,Wrong Item,779.27
149,7126,2022-12-17,Late Delivery,712.42
150,24029,2022-08-10,Late Delivery,551.73
151,38843,2023-05-31,Late Delivery,676.93
152,38377,2022-12-06,Damaged,570.03
153,28082,2025-12-30,Changed Mind,144.36
154,14792,2022-10-19,Late Delivery,525.47
155,36011,2023-08-06,Late Delivery,451.76
156,7814,2023-07-04,Late Delivery,469.51
157,36590,2022-09-26,Faulty Product,9.32
158,732,2026-01-21,Changed Mind,1323.74
159,29570,2024-09-12,Wrong Item,912.05
160,49275,2022-08-15,Damaged,217.55
161,13635,2023-08-23,Damaged,557.79
162,39919,2022-12-13,Changed Mind,470.78
163,36895,2025-11-10,Faulty Product,79.73
164,36996,2022-06-04,Wrong Item,337.73
165,26475,2023-09-12,Wrong Item,304.62
166,2600,2024-03-28,Late Delivery,629.4
167,35782,2022-04-07,Changed Mind,1306.45
168,27789,2024-10-27,Damaged,251.65
169,3268,2024-06-09,Late Delivery,68.74
170,11355,2025-12-14,Wrong Item,759.41
171,30471,2025-06-03,Changed Mind,97.5
172,39225,2022-06-11,Wrong Item,214.08
173,44588,2025-10-17,Changed Mind,1733.19
174,27106,2022-06-12,Damaged,904.76
175,17727,2023-07-19,Wrong Item,848.47
176,18957,2023-07-15,Faulty Product,159.79
177,21215,2022-11-04,Changed Mind,652.16
178,8355,2022-01-26,Wrong Item,1159.69
179,21372,2025-12-21,Changed Mind,1141.1
180,27174,2025-03-17,Late Delivery,1226.54
181,2439,2023-09-17,Late Delivery,772.51
182,46170,2026-01-03,Damaged,922.08
183,39954,2024-08-13,Changed Mind,1226.58
184,49664,2024-08-31,Wrong Item,106.99
185,4940,2023-04-03,Changed Mind,197.15
186,21426,2022-04-17,Faulty Product,962.55
187,4627,2023-04-07,Damaged,885.73
188,37522,2025-10-24,Damaged,79.42
189,40389,2022-02-22,Late Delivery,874.29
190,38779,2022-08-19,Damaged,694.12
191,18064,2022-12-12,Faulty Product,711.6
192,35650,2022-05-29,Wrong Item,620.58
193,11596,2022-12-05,Changed Mind,766.87
194,29104,2022-06-03,Changed Mind,432.13
195,34764,2022-08-02,Damaged,566.56
196,38732,2023-06-25,Faulty Product,895.52
197,26367,2023-04-02,Changed Mind,709.93
198,24457,2023-08-30,Damaged,271.57
199,26042,2025-09-04,Faulty Product,1532.63
200,10957,2024-05-29,Damaged,542.76
201,35539,2024-08-06,Changed Mind,1100.81
202,10038,2024-08-18,Faulty Product,689.41
203,33041,2024-03-22,Late Delivery,649.93
204,3660,2025-11-19,Faulty Product,847.29
205,41378,2023-12-07,Damaged,410.63
206,39816,2022-12-21,Damaged,418.06
207,4992,2025-01-31,Changed Mind,1305.44
208,30763,2025-05-19,Changed Mind,248.0
209,14209,2025-01-30,Late Delivery,563.42
210,28442,2023-08-31,Changed Mind,414.64
211,16900,2022-12-10,Wrong Item,822.51
212,25268,2025-05-14,Damaged,324.24
213,41660,2025-05-25,Late Delivery,210.09
214,20028,2024-11-09,Damaged,966.9
215,20610,2025-10-01,Wrong Item,317.32
216,49640,2024-07-24,Damaged,695.25
217,41991,2024-09-21,Changed Mind,378.38
218,40808,2024-12-02,Late Delivery,32.66
219,15684,2023-12-16,Changed Mind,1294.09
220,49470,2024-03-14,Faulty Product,521.66
221,20916,2022-08-16,Wrong Item,722.37
222,15497,2024-05-05,Faulty Product,369.44
223,43425,2024-11-20,Damaged,294.79
224,41082,2023-11-26,Damaged,837.38
225,12821,2022-02-28,Changed Mind,163.45
226,40964,2025-04-18,Late Delivery,1024.01
227,11671,2024-10-26,Damaged,1075.2
228,21418,2025-04-25,Wrong Item,554.27
229,16021,2025-07-25,Late Delivery,443.64
230,45179,2025-06-05,Changed Mind,379.34
231,23892,2022-05-08,Changed Mind,837.23
232,11337,2022-03-17,Changed Mind,641.91
233,29087,2022-07-30,Wrong Item,1169.39
234,37707,2025-06-01,Wrong Item,572.82
235,47768,2024-08-08,Wrong Item,1252.53
236,17330,2022-08-18,Changed Mind,238.49
237,39289,2024-01-28,Wrong Item,417.86
238,43692,2025-04-17,Late Delivery,538.89
239,37972,2025-11-30,Faulty Product,605.41
240,32936,2025-12-09,Late Delivery,1000.99
241,8897,2022-04-25,Damaged,282.11
242,49403,2022-11-13,Damaged,1326.16
243,10194,2025-06-26,Damaged,435.49
244,33100,2022-03-10,Faulty Product,1211.14
245,41516,2022-04-28,Changed Mind,569.86
246,42048,2023-07-02,Faulty Product,68.39
247,14915,2022-07-02,Damaged,855.47
248,46830,2025-03-02,Damaged,271.49
249,23570,2024-12-15,Late Delivery,924.59
250,36198,2022-08-20,Wrong Item,680.03
251,15834,2022-06-01,Late Delivery,377.39
252,22761,2022-12-30,Late Delivery,1169.44
253,27175,2025-10-31,Changed Mind,231.27
254,34400,2023-10-02,Damaged,356.29
255,33756,2023-09-17,Changed Mind,560.18
256,38215,2023-09-28,Damaged,573.24
257,14877,2025-12-08,Damaged,216.03
258,28337,2025-09-10,Faulty Product,634.37
259,32746,2023-01-23,Wrong Item,802.34
260,32308,2023-07-09,Wrong Item,997.77
261,24727,2025-06-17,Late Delivery,988.65
262,24775,2022-03-27,Faulty Product,446.28
263,7255,2023-02-20,Changed Mind,1035.78
264,22608,2022-01-07,Wrong Item,612.85
265,14857,2025-10-31,Damaged,939.1
266,38646,2025-11-30,Wrong Item,651.69
267,2181,2022-07-30,Faulty Product,276.16
268,16484,2023-02-19,Changed Mind,935.32
269,9765,2024-07-24,Faulty Product,955.68
270,21419,2024-04-21,Late Delivery,729.35
271,7220,2024-06-22,Damaged,857.12
272,10048,2025-12-25,Wrong Item,423.52
273,40028,2025-01-08,Wrong Item,677.18
274,43074,2023-11-04,Faulty Product,740.08
275,34911,2025-07-01,Damaged,421.7
276,374,2022-01-23,Changed Mind,367.27
277,31838,2022-06-02,Late Delivery,431.92
278,30878,2024-12-22,Wrong Item,205.51
279,4966,2025-03-23,Damaged,1351.15
280,21416,2022-01-13,Faulty Product,1179.3
281,29235,2022-07-21,Changed Mind,443.55
282,6470,2023-07-07,Late Delivery,1412.94
283,34250,2022-05-24,Wrong Item,632.87
284,42850,2022-08-04,Damaged,1361.23
285,17473,2022-05-13,Changed Mind,392.4
286,19644,2025-10-05,Faulty Product,62.99
287,33203,2022-12-29,Wrong Item,780.89
288,35696,2022-07-18,Faulty Product,851.99
289,46080,2022-07-22,Late Delivery,1207.5
290,29346,2024-12-09,Faulty Product,751.5
291,444444,2024-07-09,Wrong Item,1510.02
292,8788,2024-12-11,Faulty Product,838.98
293,24471,2024-08-16,Late Delivery,761.85
294,1457,2024-10-22,Wrong Item,196.03
295,31319,2022-12-28,Damaged,163.96
296,34789,2024-11-30,Wrong Item,61.57
297,17290,2025-05-13,Damaged,1144.8
298,23454,2025-04-30,Wrong Item,1396.89
299,29713,2024-04-11,Changed Mind,117.23
300,5279,2022-02-17,Damaged,744.28
301,30268,2024-12-22,Damaged,557.71
302,38633,2024-02-26,Late Delivery,460.65
303,7899,2025-11-07,Wrong Item,1258.35
304,345,2022-07-28,Damaged,290.17
305,13962,2023-08-12,Faulty Product,1107.13
306,39657,2024-06-18,Late Delivery,188.32
307,23733,2023-01-20,Wrong Item,334.11
308,24541,2023-03-04,Damaged,522.29
309,17942,2025-07-23,Wrong Item,400.14
310,62,2024-11-04,Late Delivery,167.41
311,9920,2023-05-02,Faulty Product,633.75
312,29284,2022-09-12,Damaged,1294.82
313,32414,2022-11-14,Faulty Product,1193.97
314,48179,2026-01-10,Wrong Item,199.02
315,27781,2022-05-03,Faulty Product,574.35
316,17116,2024-07-09,Late Delivery,373.62
317,6659,2025-12-07,Late Delivery,70.54
318,39189,2022-06-06,Wrong Item,1168.84
319,4923,2022-12-21,Wrong Item,219.01
320,11349,2025-06-11,Damaged,1707.22
321,18005,2022-10-29,Damaged,1277.97
322,43906,2024-03-27,Wrong Item,400.01
323,34421,2025-06-28,Late Delivery,32.2
324,14029,2022-08-25,Faulty Product,1426.03
325,1857,2022-07-14,Wrong Item,447.91
326,36086,2023-01-24,Late Delivery,79.43
327,32803,2022-08-16,Wrong Item,66.36
328,48635,2024-12-11,Wrong Item,615.13
329,37742,2025-07-07,Damaged,217.95
330,1004,2025-06-09,Damaged,813.7
331,31653,2022-08-27,Late Delivery,9.48
332,17572,2023-08-06,Faulty Product,974.8
333,3357,2025-12-19,Faulty Product,431.76
334,36874,2023-09-04,Damaged,229.96
335,17541,2022-05-05,Faulty Product,1205.36
336,23668,2022-06-19,Wrong Item,304.56
337,48337,2023-06-03,Late Delivery,361.13
338,34827,2024-07-02,Late Delivery,976.26
339,25388,2025-10-19,Damaged,929.1
340,4979,2023-01-19,Wrong Item,90.47
341,13710,2023-04-03,Late Delivery,684.44
342,44711,2022-08-12,Wrong Item,920.31
343,29672,2023-07-27,Wrong Item,181.05
344,48013,2024-11-07,Changed Mind,822.15
345,22346,2023-07-21,Late Delivery,663.27
346,39722,2024-10-31,Damaged,1375.6
347,9018,2025-03-05,Damaged,50.89
348,37992,2025-07-27,Damaged,251.56
349,12928,2024-09-20,Damaged,990.11
350,10843,2024-03-12,Damaged,115.64
351,23075,2024-12-24,Late Delivery,553.29
352,44244,2022-11-15,Changed Mind,645.73
353,47064,2025-08-30,Wrong Item,1153.26
354,70,2023-12-15,Wrong Item,719.2
355,41494,2025-03-30,Faulty Product,201.76
356,4500,2025-09-14,Late Delivery,1300.63
357,25313,2024-10-11,Changed Mind,76.84
358,9038,2025-01-13,Damaged,46.74
359,45216,2022-09-26,Changed Mind,1032.67
360,34949,2023-12-30,Damaged,199.95
361,3479,2025-10-04,Late Delivery,137.57
362,32774,2025-11-09,Faulty Product,426.59
363,44500,2023-12-06,Wrong Item,560.57
364,42358,2022-11-29,Damaged,664.93
365,16424,2024-12-29,Late Delivery,722.13
366,30413,2023-03-15,Faulty Product,596.77
367,24440,2023-12-26,Wrong Item,211.16
368,16571,2023-07-21,Faulty Product,216.56
369,17953,2026-01-06,Changed Mind,764.4
370,39239,2022-06-29,Changed Mind,627.19
371,38273,2023-07-05,Wrong Item,1275.35
372,7884,2025-07-27,Damaged,743.17
373,42563,2022-08-22,Changed Mind,35.0
374,48760,2023-10-07,Changed Mind,559.76
375,26886,2023-08-18,Wrong Item,1178.39
376,6660,2024-12-14,Faulty Product,379.75
377,35302,2022-03-31,Wrong Item,725.69
378,32913,2024-05-24,Changed Mind,261.61
379,23994,2024-06-23,Wrong Item,571.99
380,44808,2024-11-12,Wrong Item,340.67
381,36298,2022-07-11,Faulty Product,1246.54
382,45899,2024-10-16,Faulty Product,560.45
383,15238,2024-12-10,Late Delivery,456.38
384,28129,2022-07-21,Damaged,411.46
385,39648,2024-12-10,Late Delivery,476.01
386,27241,2025-12-19,Changed Mind,436.76
387,39622,2025-03-30,Late Delivery,231.06
388,12680,2024-09-05,Changed Mind,97.75
389,37459,2023-02-27,Damaged,1541.24
390,10462,2025-05-19,Late Delivery,780.1
391,38267,2023-07-04,Faulty Product,1436.72
392,40308,2025-11-29,Late Delivery,784.57
393,31793,2025-10-03,Late Delivery,619.8
394,16203,2023-03-06,Late Delivery,68.91
395,7196,2023-11-16,Faulty Product,656.91
396,25519,2024-08-17,Damaged,1276.24
397,444444,2025-11-18,Faulty Product,782.56
398,27803,2025-09-10,Damaged,171.68
399,2900,2023-12-09,Damaged,1088.98
400,115,2025-06-25,Changed Mind,1057.67
401,4694,2024-09-23,Damaged,864.44
402,43413,2022-07-24,Changed Mind,1293.05
403,2403,2024-03-11,Faulty Product,38.05
404,39396,2022-12-16,Faulty Product,1347.43
405,48080,2022-08-02,Late Delivery,1182.0
406,25088,2025-10-27,Wrong Item,939.43
407,44668,2024-01-10,Faulty Product,394.19
408,11993,2024-10-18,Faulty Product,481.01
409,15838,2023-07-06,Changed Mind,1112.24
410,30047,2025-08-02,Late Delivery,1468.59
411,46775,2023-03-18,Faulty Product,759.38
412,17240,2022-01-27,Late Delivery,1402.96
413,40628,2023-11-12,Changed Mind,24.34
414,37890,2022-09-20,Wrong Item,1077.4
415,4960,2022-12-25,Damaged,123.35
416,44174,2023-09-11,Wrong Item,354.0
417,27114,2024-03-19,Damaged,901.06
418,14220,2023-06-03,Damaged,1185.18
419,23525,2025-09-27,Late Delivery,905.04
420,28912,2025-12-14,Changed Mind,967.34
421,24598,2023-06-29,Changed Mind,912.56
422,44719,2022-10-31,Changed Mind,583.27
423,9157,2024-09-15,Wrong Item,1784.78
424,13871,2023-04-24,Changed Mind,414.83
425,33486,2025-06-07,Faulty Product,1249.92
426,37766,2023-12-24,Wrong Item,1316.18
427,38176,2025-08-20,Faulty Product,1147.74
428,13846,2023-01-01,Damaged,366.64
429,19479,2025-05-06,Faulty Product,874.99
430,6737,2023-07-06,Damaged,1020.91
431,23533,2025-02-26,Changed Mind,236.88
432,49204,2024-01-26,Damaged,1220.03
433,36302,2024-03-25,Wrong Item,252.94
434,22811,2022-09-20,Changed Mind,103.58
435,27352,2023-03-20,Damaged,670.71
436,36556,2024-08-22,Damaged,885.19
437,19191,2022-11-29,Late Delivery,458.59
438,27161,2025-03-22,Late Delivery,436.55
439,7885,2023-04-05,Wrong Item,315.77
440,42597,2022-04-06,Changed Mind,844.61
441,6344,2024-06-13,Late Delivery,758.09
442,16975,2023-10-20,Wrong Item,637.38
443,13479,2025-06-22,Late Delivery,168.16
444,16236,2025-08-03,Wrong Item,950.48
445,29603,2025-09-12,Changed Mind,1279.55
446,20993,2022-12-01,Late Delivery,896.01
447,28169,2023-12-19,Wrong Item,774.09
448,18726,2025-06-26,Damaged,76.58
449,34448,2024-12-27,Wrong Item,560.12
450,4451,2022-05-01,Changed Mind,1200.74
451,16477,2024-01-13,Damaged,129.12
452,25732,2024-01-11,Changed Mind,1042.23
453,34192,2022-07-01,Damaged,878.24
454,43625,2023-11-14,Late Delivery,1000.55
455,42450,2022-07-22,Changed Mind,981.35
456,46990,2023-07-25,Faulty Product,479.75
457,35371,2022-07-24,Damaged,514.38
458,15509,2022-11-16,Faulty Product,779.79
459,33353,2024-02-01,Wrong Item,66.71
460,41352,2023-05-15,Wrong Item,387.78
461,12642,2023-11-12,Late Delivery,969.88
462,14018,2024-12-26,Wrong Item,1225.65
463,8830,2025-03-28,Wrong Item,584.72
464,779,2022-11-05,Changed Mind,658.7
465,42959,2025-12-03,Faulty Product,759.16
466,17903,2024-04-09,Changed Mind,298.95
467,45082,2024-10-06,Wrong Item,1288.71
468,20344,2024-09-03,Faulty Product,1229.67
469,33008,2023-07-22,Late Delivery,604.5
470,21410,2025-06-26,Faulty Product,438.65
471,43744,2022-07-23,Changed Mind,867.47
472,22437,2025-06-22,Changed Mind,783.69
473,33461,2024-01-08,Late Delivery,598.85
474,30183,2022-11-13,Changed Mind,1665.86
475,31471,2023-09-28,Late Delivery,722.56
476,1742,2023-06-29,Faulty Product,368.8
477,41903,2024-09-22,Changed Mind,597.37
478,41300,2025-08-16,Damaged,883.1
479,11370,2024-12-13,Wrong Item,603.04
480,16598,2022-01-28,Faulty Product,805.36
481,10128,2022-10-17,Changed Mind,79.73
482,1325,2022-12-18,Damaged,1550.82
483,4245,2025-09-12,Damaged,572.94
484,26831,2025-04-27,Damaged,385.16
485,21615,2022-07-27,Damaged,286.94
486,15662,2023-09-27,Faulty Product,153.14
487,3930,2023-01-06,Late Delivery,121.27
488,20383,2025-12-12,Late Delivery,450.7
489,23325,2025-09-18,Faulty Product,203.99
490,12175,2023-12-12,Faulty Product,80.64
491,8694,2024-12-17,Wrong Item,1116.74
492,49281,2024-10-21,Late Delivery,1255.15
493,34237,2023-01-28,Late Delivery,892.81
494,49174,2024-09-20,Damaged,203.16
495,35769,2023-09-06,Wrong Item,862.39
496,28309,2024-09-28,Late Delivery,1079.32
497,45248,2023-12-28,Faulty Product,608.11
498,44673,2024-07-03,Changed Mind,822.21
499,47934,2023-06-28,Damaged,1551.35
500,33532,2023-09-26,Late Delivery,963.16
501,31327,2024-05-21,Wrong Item,572.63
502,41419,2025-03-26,Late Delivery,184.46
503,47802,2025-09-21,Wrong Item,1405.93
504,31860,2023-04-12,Damaged,225.89
505,23756,2025-02-20,Damaged,916.2
506,14694,2022-04-30,Wrong Item,1346.73
507,3607,2025-07-02,Late Delivery,275.4
508,29517,2022-07-27,Late Delivery,1025.47
509,4484,2024-06-23,Changed Mind,1379.17
510,22962,2025-12-14,Changed Mind,64.61
511,10751,2022-11-07,Late Delivery,1414.72
512,16376,2024-07-20,Damaged,1081.66
513,27894,2022-09-28,Late Delivery,924.38
514,43228,2024-08-06,Wrong Item,1276.05
515,565,2022-07-22,Damaged,711.77
516,44111,2022-10-09,Late Delivery,1129.16
517,41031,2024-08-28,Wrong Item,414.14
518,46826,2023-06-21,Damaged,921.8
519,30808,2025-06-09,Damaged,520.16
520,32718,2025-11-24,Faulty Product,442.62
521,14536,2024-08-14,Damaged,645.51
522,2286,2022-07-10,Late Delivery,294.83
523,46394,2024-10-12,Damaged,1054.84
524,33427,2022-12-14,Late Delivery,1427.4
525,48917,2025-10-20,Late Delivery,1235.72
526,46947,2024-11-29,Changed Mind,84.8
527,45933,2023-07-25,Faulty Product,1536.2
528,13652,2024-11-15,Damaged,530.44
529,31113,2022-09-21,Late Delivery,396.69
530,1855,2024-07-06,Changed Mind,284.97
531,14107,2023-05-08,Wrong Item,748.46
532,24491,2025-12-04,Faulty Product,1377.85
533,26573,2022-05-29,Faulty Product,1525.82
534,18267,2024-10-27,Damaged,470.61
535,13767,2022-06-09,Wrong Item,394.97
536,34575,2023-07-10,Late Delivery,374.28
537,33879,2023-03-10,Faulty Product,9.33
538,17871,2025-04-29,Changed Mind,612.36
539,4060,2025-07-09,Late Delivery,612.29
540,49431,2023-07-22,Faulty Product,345.72
541,44756,2024-07-15,Damaged,426.77
542,17549,2025-03-07,Faulty Product,1207.44
543,24143,2024-07-18,Faulty Product,500.14
544,11731,2024-10-10,Faulty Product,937.08
545,29114,2023-08-15,Changed Mind,1590.2
546,41914,2023-08-01,Wrong Item,1216.19
547,7790,2024-11-27,Damaged,1233.92
548,39445,2023-09-08,Wrong Item,104.5
549,18391,2023-11-24,Late Delivery,161.18
550,18420,2025-07-06,Faulty Product,724.55
551,25516,2023-07-27,Wrong Item,341.16
552,42257,2025-05-22,Damaged,521.45
553,26469,2023-07-29,Late Delivery,873.77
554,4772,2022-10-21,Wrong Item,591.75
555,13898,2024-07-27,Damaged,1207.43
556,24047,2022-02-02,Damaged,1533.32
557,9505,2025-09-08,Damaged,1055.9
558,7069,2025-10-26,Late Delivery,99.25
559,27946,2022-11-07,Late Delivery,136.47
560,19194,2025-07-23,Wrong Item,918.15
561,42064,2025-12-13,Faulty Product,1168.05
562,27246,2025-12-19,Changed Mind,938.73
563,39594,2025-11-04,Changed Mind,417.82
564,28728,2024-08-14,Changed Mind,893.56
565,18901,2024-07-24,Damaged,1141.0
566,1138,2023-08-28,Wrong Item,263.53
567,40658,2024-05-05,Changed Mind,221.31
568,21623,2023-12-14,Wrong Item,783.91
569,20957,2022-06-05,Late Delivery,917.06
570,2211,2025-06-15,Wrong Item,1420.96
571,12430,2023-08-26,Late Delivery,532.34
572,46488,2025-10-14,Faulty Product,456.36
573,42497,2025-05-27,Late Delivery,1667.32
574,4722,2024-08-11,Wrong Item,1706.53
575,2247,2024-06-23,Changed Mind,834.9
576,22748,2025-11-03,Late Delivery,1331.96
577,30302,2024-09-13,Faulty Product,396.68
578,4564,2024-10-30,Wrong Item,1013.9
579,45217,2022-05-06,Damaged,1611.4
580,42199,2023-11-03,Late Delivery,1179.53
581,10465,2023-12-07,Late Delivery,663.85
582,44582,2023-08-17,Wrong Item,1000.45
583,43166,2025-10-31,Damaged,935.71
584,11177,2024-04-24,Damaged,790.5
585,11462,2025-09-03,Changed Mind,807.54
586,38174,2024-11-04,Damaged,1117.54
587,44182,2023-10-05,Faulty Product,1218.11
588,40967,2025-07-13,Damaged,1754.87
589,45753,2025-12-04,Faulty Product,702.9
590,28652,2024-10-11,Damaged,375.77
591,19113,2024-11-28,Changed Mind,1445.93
592,15604,2022-07-19,Faulty Product,1165.88
593,8824,2025-03-31,Late Delivery,347.23
594,905,2025-05-01,Wrong Item,9.15
595,20329,2022-12-07,Wrong Item,236.33
596,16483,2023-07-05,Damaged,997.6
597,33701,2025-08-16,Changed Mind,442.07
598,49980,2022-12-16,Faulty Product,1244.8
599,36810,2024-04-22,Faulty Product,281.0
600,46887,2023-06-06,Wrong Item,978.9
601,20353,2025-04-18,Wrong Item,364.38
602,12527,2023-06-16,Changed Mind,644.06
603,1770,2025-08-31,Changed Mind,679.76
604,26104,2024-08-04,Damaged,865.66
605,39977,2022-10-31,Wrong Item,721.16
606,20235,2023-01-06,Late Delivery,969.19
607,26795,2022-07-29,Late Delivery,646.55
608,38393,2023-04-23,Late Delivery,817.14
609,2649,2024-12-04,Wrong Item,1172.86
610,44504,2024-07-25,Changed Mind,105.8
611,31772,2024-09-21,Faulty Product,400.78
