OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount,Cost,Profit
44,17,7,3,219.88,0.00,430.62,229.02
45,18,90,3,788.85,0.00,1501.08,865.47
46,18,316,2,76.79,0.00,79.66,73.92
47,18,218,3,1581.41,0.00,2569.23,2175.00
48,18,257,0,713.76,0.00,778.34,649.18
49,18,307,1,324.18,0.00,147.61,176.57
50,19,242,2,569.07,0.05,563.94,517.29
51,20,72,1,1078.91,0.10,604.17,366.85
52,21,426,1,492.75,0.00,327.13,165.62
53,21,127,2,192.41,0.00,268.90,115.92
54,22,69,3,1276.41,0.00,2256.75,1572.48
55,22,425,3,563.34,0.00,1061.13,628.89
56,23,409,3,989.79,0.00,2238.36,731.01
57,24,361,3,520.98,0.00,896.01,666.93
58,24,384,1,92.89,0.00,56.57,36.32
59,25,185,4,971.22,0.00,2859.28,1025.60
60,25,398,3,994.15,0.00,1737.96,1244.49
61,25,179,1,647.47,0.00,406.21,241.26
62,25,254,1,1032.54,0.00,699.67,332.87
63,26,36,1,228.34,0.00,108.50,119.84
64,26,158,4,418.90,0.00,1232.60,443.00
65,27,254,1,1032.54,0.00,699.67,332.87
66,27,32,1,334.71,0.00,254.35,80.36
67,28,411,2,162.19,0.00,158.00,166.38
68,29,266,3,731.72,0.00,1084.23,1110.93
69,29,355,2,1156.42,0.00,1245.62,1067.22
70,29,234,3,1443.15,0.00,2140.62,2188.83
71,30,51,3,1384.95,0.10,2174.04,1565.33
72,30,166,3,775.56,0.10,1233.03,860.98
73,31,3,1,1038.15,0.00,588.67,449.48
74,31,62,1,1400.01,0.00,679.36,720.65
75,32,266,4,731.72,0.05,1445.64,1334.90
76,32,166,2,775.56,0.05,822.02,651.54
77,33,281,4,358.28,0.00,957.16,475.96
78,33,107,1,1319.63,0.00,620.21,699.42
79,33,288,2,1215.08,0.00,1769.60,660.56
80,34,151,4,1853.60,0.00,3505.48,3908.92
81,34,179,3,647.47,0.00,1218.63,723.78
82,34,428,1,430.63,0.00,321.75,108.88
83,34,297,1,1186.12,0.00,649.97,536.15
84,35,55,2,1388.13,0.00,1355.68,1420.58
85,36,236,2,1348.37,0.10,1712.60,714.47
86,37,11,1,987.39,0.00,537.09,450.30
87,37,22,3,769.00,0.00,1201.32,1105.68
88,38,344,2,959.41,0.10,896.74,830.20
89,39,380,1,128.12,0.10,59.56,55.75
90,40,376,1,74.33,0.05,44.59,26.02
91,40,45,4,140.72,0.05,323.56,211.18
92,40,304,1,492.05,0.05,290.61,176.84
93,41,53,1,1157.91,0.00,537.93,619.98
94,41,352,1,1465.47,0.00,679.61,785.86
95,41,382,1,525.54,0.00,377.61,147.93
96,41,199,4,731.26,0.00,2286.76,638.28
97,42,111,3,778.62,0.00,1358.76,977.10
98,43,257,4,713.76,0.00,1556.68,1298.36
99,43,348,3,818.86,0.00,1944.45,512.13
100,44,79,3,1554.63,0.05,2296.11,2134.59
101,44,60,1,803.82,0.05,381.03,382.60
102,44,139,3,122.52,0.05,198.72,150.46
103,45,94,1,1148.88,0.00,750.20,398.68
104,45,187,4,149.15,0.00,360.40,236.20
105,45,77777,1,385.62,0.00,248.19,137.43
106,45,407,2,366.39,0.00,461.82,270.96
107,46,199,1,731.26,0.00,571.69,159.57
108,46,405,1,1114.13,0.00,879.84,234.29
109,46,236,1,1348.37,0.00,856.30,492.07
110,47,14,2,117.86,0.00,139.86,95.86
111,47,440,2,1071.94,0.00,994.68,1149.20
112,47,13,1,227.57,0.00,122.14,105.43
113,48,345,1,693.99,0.05,513.33,145.96
114,49,94,1,1148.88,0.05,750.20,341.24
115,49,444,4,629.70,0.05,1454.88,937.98
116,49,312,2,809.68,0.05,1015.66,522.73
117,49,156,1,368.90,0.05,184.71,165.74
118,50,391,1,444.81,0.00,292.85,151.96
119,51,365,1,263.90,0.00,200.02,63.88
120,51,80,2,1354.39,0.00,1605.92,1102.86
121,51,29,4,282.60,0.00,589.92,540.48
122,51,352,1,1465.47,0.00,679.61,785.86
123,52,27,1,305.78,0.00,143.33,162.45
124,53,284,1,1905.03,0.10,870.97,843.56
125,54,169,1,865.15,0.05,401.83,420.06
126,55,411,2,162.19,0.00,158.00,166.38
127,55,32,1,334.71,0.00,254.35,80.36
128,56,154,2,1516.48,0.00,1627.10,1405.86
129,56,333,1,915.26,0.00,518.26,397.00
130,56,189,2,178.46,0.00,182.86,174.06
131,57,71,1,232.84,0.05,183.43,37.77
132,58,54,1,1324.96,0.10,748.36,444.10
133,59,132,1,425.25,0.00,214.04,211.21
134,60,116,1,594.94,0.00,445.09,149.85
135,60,278,1,1318.28,0.00,612.76,705.52
136,61,255,4,1062.39,0.10,2307.44,1517.16
137,62,327,1,186.05,0.05,128.58,48.17
138,62,385,1,526.23,0.05,352.64,147.28
139,62,372,3,505.71,0.05,1033.35,407.92
140,62,338,1,85.38,0.05,51.98,29.13
141,63,6,2,1892.21,0.00,1723.60,2060.82
142,63,268,1,1199.56,0.00,720.41,479.15
143,63,252,4,1172.93,0.00,2222.96,2468.76
144,64,245,2,425.27,0.00,457.50,393.04
145,64,259,1,1004.84,0.00,459.06,545.78
146,65,395,4,902.79,0.10,2000.84,1249.20
147,66,404,0,629.01,0.25,997.44,-53.93
148,67,335,3,399.89,0.05,703.56,436.13
149,67,304,1,492.05,0.05,290.61,176.84
150,68,16,2,433.33,0.00,520.12,346.54
151,68,99,1,131.76,0.00,71.30,60.46
152,69,108,3,157.66,0.00,323.16,149.82
153,69,172,3,1052.81,0.00,1737.99,1420.44
154,69,293,2,237.17,0.00,304.74,169.60
155,70,374,3,751.98,0.00,1140.66,1115.28
156,71,120,2,1322.53,0.00,1566.16,1078.90
157,71,228,1,662.39,0.00,472.86,189.53
158,72,353,2,380.53,0.00,478.18,282.88
159,73,110,1,360.24,0.11,263.31,57.30
160,73,421,3,550.37,0.11,891.33,578.16
161,73,147,2,590.19,0.11,545.48,505.06
162,73,109,1,116.93,0.11,58.38,45.69
163,74,314,1,716.92,0.34,357.54,115.63
164,75,348,1,818.86,0.05,648.15,129.77
165,75,138,1,1184.65,0.05,565.99,559.43
166,75,449,3,845.48,0.05,1407.96,1001.66
167,75,303,4,511.62,0.05,1256.44,687.72
168,76,232,4,728.93,0.00,2106.20,809.52
169,76,111,3,778.62,0.00,1358.76,977.10
170,77,39,1,1477.34,0.05,763.97,639.50
171,77,327,4,186.05,0.05,514.32,192.67
172,77,261,1,426.58,0.05,324.60,80.65
173,78,126,3,510.17,0.00,749.16,781.35
174,78,235,2,1048.61,0.00,1210.12,887.10
175,78,394,3,669.99,0.00,1126.41,883.56
176,78,112,1,609.52,0.00,391.67,217.85
177,78,435,2,1295.65,0.00,1553.34,1037.96
178,79,413,2,1636.78,0.00,1563.92,1709.64
179,80,387,2,1108.14,0.10,1215.88,778.77
180,80,365,2,263.90,0.10,400.04,74.98
181,81,13,2,227.57,0.05,244.28,188.10
182,81,153,2,1061.90,0.05,1121.40,896.21
183,81,138,2,1184.65,0.05,1131.98,1118.86
184,82,117,2,1248.76,0.05,1209.54,1163.10
185,83,395,2,902.79,0.00,1000.42,805.16
186,83,69,4,1276.41,0.00,3009.00,2096.64
187,83,288,1,1215.08,0.00,884.80,330.28
188,84,412,3,1840.88,0.05,2629.77,2616.74
189,84,59,3,652.87,0.05,1109.40,751.28
190,85,47,1,233.28,0.00,183.22,50.06
191,85,177,2,1051.00,0.00,1424.08,677.92
192,85,42,1,485.75,0.00,274.35,211.40
193,85,180,3,372.91,0.00,609.87,508.86
194,86,248,2,341.96,0.00,407.44,276.48
195,86,30,1,389.74,0.00,183.62,206.12
196,87,394,2,669.99,0.05,750.94,522.04
197,87,133,2,1285.62,0.05,1272.36,1170.32
198,88,133,2,1285.62,0.00,1272.36,1298.88
199,89,99,1,131.76,0.05,71.30,53.87
200,89,86,3,1123.49,0.05,1615.68,1586.27
201,89,257,1,713.76,0.05,389.17,288.90
202,90,85,2,243.49,0.05,335.50,127.13
203,91,408,4,615.82,0.34,1663.20,-37.44
204,91,389,2,40.07,0.34,37.44,15.45
205,92,13,1,227.57,0.10,122.14,82.67
206,93,365,2,263.90,0.00,400.04,127.76
207,94,343,2,1612.88,0.00,1509.32,1716.44
208,95,169,2,865.15,0.05,803.66,840.12
209,96,221,1,1143.89,0.00,570.09,573.80
210,96,230,1,85.73,0.00,63.99,21.74
211,96,235,1,1048.61,0.00,605.06,443.55
212,97,279,2,205.00,0.10,256.48,112.52
213,97,446,2,160.54,0.10,162.12,126.85
214,98,285,4,758.73,0.05,1989.00,894.17
215,98,70,1,270.51,0.05,205.68,51.30
216,99,298,1,84.96,0.00,45.69,39.27
217,99,37,1,689.32,0.00,395.27,294.05
218,99,18,1,170.22,0.00,125.19,45.03
219,99,144,1,659.67,0.00,347.38,312.29
220,100,370,4,1450.68,0.00,3574.40,2228.32
221,101,317,1,952.68,0.10,547.60,309.81
222,101,249,2,577.62,0.10,719.66,320.06
223,101,188,2,1053.83,0.10,1239.40,657.49
224,102,434,1,597.37,0.00,277.67,319.70
225,102,86,3,1123.49,0.00,1615.68,1754.79
226,102,216,3,1290.52,0.00,2447.40,1424.16
227,102,8,1,101.37,0.00,56.16,45.21
228,102,156,3,368.90,0.00,554.13,552.57
229,103,251,3,83.33,0.00,117.84,132.15
230,103,363,1,202.44,0.00,123.09,79.35
231,104,102,3,1253.74,0.00,2454.33,1306.89
232,104,148,4,605.72,0.00,1101.60,1321.28
233,105,336,2,766.10,0.11,1016.02,347.64
234,105,412,1,1840.88,0.11,876.59,761.79
235,105,424,2,109.51,0.11,156.84,38.09
236,105,83,1,1274.84,0.11,841.49,293.12
237,105,230,1,85.73,0.11,63.99,12.31
238,106,450,1,704.36,0.10,355.07,278.85
239,106,425,4,563.34,0.10,1414.84,613.18
240,106,386,3,592.93,0.10,1011.33,589.58
241,107,64,2,504.73,0.10,790.14,118.37
242,108,18,1,170.22,0.00,125.19,45.03
243,108,361,4,520.98,0.00,1194.68,889.24
244,109,397,3,1123.01,0.05,1772.61,1427.97
245,109,212,2,1326.80,0.05,1444.36,1076.56
246,110,14,1,117.86,0.00,69.93,47.93
247,110,327,1,186.05,0.00,128.58,57.47
248,110,232,1,728.93,0.00,526.55,202.38
249,111,92,2,241.84,0.00,354.72,128.96
250,111,255,1,1062.39,0.00,576.86,485.53
251,111,70,1,270.51,0.00,205.68,64.83
252,111,332,2,677.82,0.00,634.36,721.28
253,112,260,0,789.33,0.00,851.54,727.12
254,112,184,2,1570.19,0.00,1790.38,1350.00
255,113,310,1,997.28,0.30,485.34,212.76
256,114,22,4,769.00,0.00,1601.76,1474.24
257,114,87,3,157.86,0.00,244.86,228.72
258,114,349,1,967.29,0.00,682.77,284.52
259,114,396,1,265.20,0.00,180.59,84.61
260,114,407,2,366.39,0.00,461.82,270.96
261,115,104,1,848.06,0.00,564.84,283.22
262,115,223,4,487.83,0.00,1047.72,903.60
263,115,9,2,1146.95,0.00,1729.80,564.10
264,115,105,1,698.00,0.00,499.03,198.97
265,116,442,2,199.24,0.00,259.14,139.34
266,117,25,1,1826.05,0.10,840.11,803.33
267,117,164,1,1180.66,0.10,632.46,430.13
268,118,15,4,294.03,0.00,783.08,393.04
269,119,22,1,769.00,0.00,400.44,368.56
270,120,285,2,758.73,0.10,994.50,371.21
271,121,216,1,1290.52,0.00,815.80,474.72
272,121,155,0,455.83,0.00,331.55,124.28
273,121,93,1,339.71,0.00,198.66,141.05
274,121,114,4,317.17,0.00,984.84,283.84
275,122,274,1,1155.76,0.05,577.33,520.64
276,122,184,4,1570.19,0.05,3580.76,2385.96
277,123,125,2,816.40,0.00,1169.40,463.40
278,123,346,4,844.57,0.00,1965.00,1413.28
279,123,177,3,1051.00,0.00,2136.12,1016.88
280,123,184,3,1570.19,0.00,2685.57,2025.00
281,124,428,4,430.63,0.10,1287.00,263.27
282,124,56,1,855.06,0.10,565.94,203.61
283,124,242,3,569.07,0.10,845.91,690.58
284,125,347,2,240.97,0.05,355.14,102.70
285,126,111,1,778.62,0.40,452.92,14.25
286,126,439,2,923.80,0.40,1019.30,89.26
287,126,444,1,629.70,0.40,363.72,14.10
288,126,118,3,564.80,0.40,788.85,227.79
289,127,376,2,74.33,0.00,89.18,59.48
290,128,356,1,276.92,0.00,201.12,75.80
291,129,55,1,1388.13,0.00,677.84,710.29
292,129,442,1,199.24,0.00,129.57,69.67
293,129,51,2,1384.95,0.00,1449.36,1320.54
294,129,334,1,92.02,0.00,42.65,49.37
295,129,432,2,544.79,0.00,546.56,543.02
296,130,280,1,40.22,0.10,28.19,8.01
297,131,387,1,1108.14,0.10,607.94,389.39
298,131,295,1,462.10,0.10,250.63,165.26
299,131,196,1,1031.31,0.10,550.05,378.13
300,131,355,2,1156.42,0.10,1245.62,835.94
301,131,16,4,433.33,0.10,1040.24,519.75
302,132,65,1,258.71,0.00,152.72,105.99
303,132,242,3,569.07,0.00,845.91,861.30
304,133,3,2,1038.15,0.00,1177.34,898.96
305,133,446,1,160.54,0.00,81.06,79.48
306,133,369,2,1805.97,0.00,1735.82,1876.12
307,133,419,1,1061.08,0.00,672.18,388.90
308,134,57,1,385.62,0.10,248.19,98.87
309,134,29,1,282.60,0.10,147.48,106.86
310,135,156,2,368.90,0.00,369.42,368.38
311,135,388,1,882.36,0.00,605.95,276.41
312,135,15,4,294.03,0.00,783.08,393.04
313,135,324,1,1095.84,0.00,740.39,355.45
314,135,353,1,380.53,0.00,239.09,141.44
315,136,427,4,722.74,0.05,1626.88,1119.53
316,137,229,1,1322.96,0.24,698.15,307.30
317,137,272,2,451.21,0.24,539.20,146.64
318,137,347,3,240.97,0.24,532.71,16.70
319,138,275,2,910.97,0.00,928.42,893.52
320,139,362,3,704.17,0.10,1580.76,320.50
321,139,20,4,933.16,0.10,1768.96,1590.42
322,139,178,2,101.45,0.10,103.80,78.81
323,140,174,1,411.67,0.00,198.28,213.39
324,141,393,1,1498.06,0.10,883.28,464.97
325,141,312,4,809.68,0.10,2031.32,883.53
326,141,241,2,509.91,0.10,520.02,397.82
327,142,125,1,816.40,0.00,584.70,231.70
328,142,126,1,510.17,0.00,249.72,260.45
329,143,382,2,525.54,0.00,755.22,295.86
330,143,77777,1,775.56,0.00,411.01,364.55
331,144,205,3,410.18,0.00,843.12,387.42
332,144,77,1,1244.24,0.00,617.41,626.83
333,144,421,1,550.37,0.00,297.11,253.26
334,144,199,2,731.26,0.00,1143.38,319.14
335,145,284,3,1905.03,0.00,2612.91,3102.18
336,146,391,1,444.81,0.10,292.85,107.48
337,146,326,2,831.47,0.10,908.26,588.39
338,146,306,1,1826.10,0.10,866.60,776.89
339,146,23,3,1622.06,0.10,2552.46,1827.10
340,146,230,0,85.73,0.10,191.97,39.50
341,147,213,4,1126.87,0.00,3043.24,1464.24
342,147,210,1,115.58,0.00,74.69,40.89
343,147,48,4,694.80,0.00,1503.68,1275.52
344,148,8,1,101.37,0.05,56.16,40.14
345,149,8,1,101.37,0.00,56.16,45.21
346,149,20,4,933.16,0.00,1768.96,1963.68
347,149,401,1,236.79,0.00,128.05,108.74
348,149,45,1,140.72,0.00,80.89,59.83
349,149,312,1,809.68,0.00,507.83,301.85
350,150,350,3,486.77,0.00,895.47,564.84
351,151,35,3,850.65,0.05,1616.79,807.56
352,152,427,1,722.74,0.05,406.72,279.88
353,152,119,1,446.10,0.05,286.49,137.31
354,153,29,3,282.60,0.00,442.44,405.36
355,153,45,2,140.72,0.00,161.78,119.66
356,154,348,1,818.86,0.05,648.15,129.77
357,154,142,1,540.59,0.05,325.82,187.74
358,155,357,4,650.56,0.10,1357.56,984.46
359,155,19,1,372.92,0.10,257.17,78.46
360,156,36,2,228.34,0.00,217.00,239.68
361,157,151,2,1853.60,0.11,1752.74,1546.67
362,157,300,1,1471.62,0.11,861.20,448.54
363,157,367,4,734.66,0.11,1483.76,1131.63
364,157,89,1,387.79,0.11,203.33,141.80
365,158,278,3,1318.28,0.00,1838.28,2116.56
366,159,318,4,654.77,0.00,1426.76,1192.32
367,159,235,1,1048.61,0.00,605.06,443.55
368,160,236,2,1348.37,0.00,1712.60,984.14
369,160,381,2,975.07,0.00,897.16,1052.98
370,160,199,3,731.26,0.00,1715.07,478.71
371,161,380,2,128.12,0.00,119.12,137.12
372,161,371,1,10.31,0.00,8.11,2.20
373,161,38,2,841.23,0.00,782.02,900.44
374,162,285,2,758.73,0.31,994.50,52.55
375,162,321,4,589.85,0.31,1121.48,506.51
376,163,329,3,1346.54,0.00,2087.79,1951.83
377,164,102,1,1253.74,0.00,818.11,435.63
378,164,411,3,162.19,0.00,237.00,249.57
379,165,331,1,1334.54,0.00,695.20,639.34
380,165,36,1,228.34,0.00,108.50,119.84
381,165,123,1,1601.65,0.00,875.97,725.68
382,166,263,1,1183.15,0.00,580.30,602.85
383,166,161,4,1146.80,0.00,2428.72,2158.48
384,166,413,4,1636.78,0.00,3127.84,3419.28
385,167,408,3,615.82,0.00,1247.40,600.06
386,168,171,2,238.90,0.00,349.76,128.04
387,168,396,4,265.20,0.00,722.36,338.44
388,168,367,1,734.66,0.00,370.94,363.72
389,169,410,2,611.40,0.00,688.88,533.92
390,169,68,1,303.42,0.00,194.44,108.98
391,170,203,3,901.17,0.00,1644.99,1058.52
392,171,296,2,334.40,0.00,311.86,356.94
393,172,273,3,673.76,0.00,1206.90,814.38
394,173,288,1,1215.08,0.00,884.80,330.28
395,174,405,2,1114.13,0.10,1759.68,245.75
396,174,439,2,923.80,0.10,1019.30,643.54
397,175,223,2,487.83,0.00,523.86,451.80
398,175,89,3,387.79,0.00,609.99,553.38
399,176,447,1,987.76,0.37,553.35,68.94
400,176,97,2,879.83,0.37,1037.58,71.01
401,177,81,2,881.59,0.00,943.92,819.26
402,177,307,1,324.18,0.00,147.61,176.57
403,177,105,2,698.00,0.00,998.06,397.94
404,178,305,1,139.83,0.00,91.65,48.18
405,178,258,2,1053.72,0.00,1206.10,901.34
406,178,337,3,284.52,0.00,657.48,196.08
407,179,33,1,791.47,0.00,362.71,428.76
408,179,105,3,698.00,0.00,1497.09,596.91
409,179,377,2,695.29,0.00,911.98,478.60
410,180,397,1,1123.01,0.00,590.87,532.14
411,180,355,2,1156.42,0.00,1245.62,1067.22
412,180,198,1,1400.96,0.00,783.53,617.43
413,181,117,2,1248.76,0.00,1209.54,1287.98
414,181,306,4,1826.10,0.00,3466.40,3838.00
415,181,93,2,339.71,0.00,397.32,282.10
416,181,396,4,265.20,0.00,722.36,338.44
417,181,30,1,389.74,0.00,183.62,206.12
418,182,316,1,76.79,0.00,39.83,36.96
419,182,290,4,711.28,0.00,2078.16,766.96
420,183,69,1,1276.41,0.34,752.25,90.18
421,183,156,0,368.90,0.34,738.84,235.06
422,184,395,4,902.79,0.10,2000.84,1249.20
423,184,218,3,1581.41,0.10,2569.23,1700.58
424,185,248,1,341.96,0.00,203.72,138.24
425,185,314,0,716.92,0.00,357.54,359.38
426,185,152,4,1315.20,0.00,2879.92,2380.88
427,185,365,1,263.90,0.00,200.02,63.88
428,186,68,2,303.42,0.00,388.88,217.96
429,187,130,2,243.09,0.10,275.98,161.58
430,187,343,1,1612.88,0.10,754.66,696.93
431,187,371,2,10.31,0.10,16.22,2.34
432,188,137,2,1167.03,0.34,1249.94,290.54
433,188,313,4,723.25,0.34,1632.28,277.10
434,188,346,1,844.57,0.34,491.25,66.17
435,189,359,1,840.69,0.10,634.87,121.75
436,189,161,1,1146.80,0.10,607.18,424.94
437,189,255,3,1062.39,0.10,1730.58,1137.87
438,190,406,3,1445.12,0.00,2479.95,1855.41
439,190,22,3,769.00,0.00,1201.32,1105.68
440,191,219,1,1486.39,0.00,832.12,654.27
441,191,327,3,186.05,0.00,385.74,172.41
442,191,87,2,157.86,0.00,163.24,152.48
443,191,153,1,1061.90,0.00,560.70,501.20
444,192,7,3,219.88,0.05,430.62,196.04
445,192,290,1,711.28,0.05,519.54,156.18
446,193,293,2,237.17,0.00,304.74,169.60
447,193,150,3,897.57,0.00,1782.36,910.35
448,193,411,3,162.19,0.00,237.00,249.57
449,194,443,1,617.04,0.00,383.70,233.34
450,194,282,3,1416.66,0.00,2475.75,1774.23
451,195,255,1,1062.39,0.05,576.86,432.41
452,195,358,0,445.49,0.05,679.44,590.21
453,195,15,4,294.03,0.05,783.08,334.23
454,196,72,2,1078.91,0.00,1208.34,949.48
455,196,325,1,658.69,0.00,399.73,258.96
456,197,388,2,882.36,0.00,1211.90,552.82
457,198,264,4,231.72,0.00,672.56,254.32
458,199,163,2,1027.80,0.10,1102.04,748.00
459,199,194,1,659.42,0.10,333.97,259.51
460,199,432,1,544.79,0.10,273.28,217.03
461,200,336,4,766.10,0.11,2032.04,695.28
462,200,166,1,775.56,0.11,411.01,279.24
463,201,380,1,128.12,0.00,59.56,68.56
464,201,3,1,1038.15,0.00,588.67,449.48
465,202,37,3,689.32,0.16,1185.81,551.28
466,202,195,1,1003.50,0.16,507.06,335.88
467,202,120,1,1322.53,0.16,783.08,327.85
468,202,177,1,1051.00,0.16,712.04,170.80
469,203,271,2,254.61,0.10,333.02,125.28
470,203,322,2,454.44,0.10,485.30,332.69
471,204,346,2,844.57,0.00,982.50,706.64
472,204,442,2,199.24,0.00,259.14,139.34
473,205,40,2,604.78,0.00,741.02,468.54
474,205,201,2,1539.52,0.00,1695.12,1383.92
475,206,126,1,510.17,0.10,249.72,209.43
476,206,241,1,509.91,0.10,260.01,198.91
477,207,23,2,1622.06,0.00,1701.64,1542.48
478,207,183,1,721.07,0.00,549.43,171.64
479,207,224,4,1003.34,0.00,2004.44,2008.92
480,207,406,1,1445.12,0.00,826.65,618.47
481,207,6,3,1892.21,0.00,2585.40,3091.23
482,208,149,2,928.34,0.00,1033.74,822.94
483,208,443,1,617.04,0.00,383.70,233.34
484,208,250,3,64.52,0.00,90.69,102.87
485,208,292,1,1444.74,0.00,869.81,574.93
486,208,385,2,526.23,0.00,705.28,347.18
487,209,334,1,92.02,0.05,42.65,44.77
488,210,77777,1,1034.29,0.00,477.08,557.21
489,210,218,4,1581.41,0.00,3425.64,2900.00
490,210,171,1,238.90,0.00,174.88,64.02
491,210,278,1,1318.28,0.00,612.76,705.52
492,211,422,2,803.28,0.05,999.94,526.29
493,211,249,1,577.62,0.05,359.83,188.91
494,212,84,2,887.53,0.00,1102.50,672.56
495,212,314,3,716.92,0.00,1072.62,1078.14
496,213,124,2,28.23,0.10,34.48,16.33
497,213,383,2,1175.06,0.10,1530.32,584.79
498,214,198,2,1400.96,0.11,1567.06,926.65
499,214,230,3,85.73,0.11,191.97,36.93
500,215,154,1,1516.48,0.00,813.55,702.93
501,215,148,3,605.72,0.00,826.20,990.96
502,216,230,2,85.73,0.28,127.98,-4.53
503,216,341,3,340.20,0.28,781.35,-46.52
504,217,86,4,1123.49,0.05,2154.24,2115.02
505,218,310,2,997.28,0.10,970.68,824.42
506,219,14,2,117.86,0.00,139.86,95.86
507,219,393,1,1498.06,0.00,883.28,614.78
508,220,278,0,1318.28,0.10,1225.52,1147.38
509,220,297,3,1186.12,0.10,1949.91,1252.61
510,221,62,1,1400.01,0.00,679.36,720.65
511,222,201,3,1539.52,0.00,2542.68,2075.88
512,222,179,1,647.47,0.00,406.21,241.26
513,223,447,1,987.76,0.00,553.35,434.41
514,223,142,2,540.59,0.00,651.64,429.54
515,223,420,3,133.29,0.00,219.12,180.75
516,224,235,1,1048.61,0.00,605.06,443.55
517,225,292,2,1444.74,0.19,1739.62,600.86
518,225,274,4,1155.76,0.19,2309.32,1435.34
519,226,396,2,265.20,0.34,361.18,-11.12
520,227,199,2,731.26,0.00,1143.38,319.14
521,227,276,2,1093.30,0.00,1097.56,1089.04
522,227,45,1,140.72,0.00,80.89,59.83
523,227,113,3,1770.06,0.00,2597.73,2712.45
524,228,67,1,213.53,0.00,126.45,87.08
525,229,172,1,1052.81,0.10,579.33,368.20
526,230,120,1,1322.53,0.00,783.08,539.45
527,230,146,4,464.31,0.00,1049.72,807.52
528,230,30,4,389.74,0.00,734.48,824.48
529,231,350,1,486.77,0.00,298.49,188.28
530,232,251,4,83.33,0.25,157.12,92.87
531,232,232,2,728.93,0.25,1053.10,40.29
532,232,223,2,487.83,0.25,523.86,207.89
533,233,275,3,910.97,0.10,1392.63,1066.99
534,233,260,1,789.33,0.10,425.77,284.63
535,234,135,3,801.17,0.14,1427.19,639.83
536,234,68,3,303.42,0.14,583.32,199.50
537,234,194,1,659.42,0.14,333.97,233.13
538,234,224,2,1003.34,0.14,1002.22,723.52
539,235,292,2,1444.74,0.10,1739.62,860.91
540,235,390,2,405.19,0.10,444.24,285.10
541,235,81,1,881.59,0.10,471.96,321.47
542,236,48,2,694.80,0.05,751.84,568.28
543,236,77777,4,1612.88,0.05,3018.64,3110.30
544,236,337,1,284.52,0.05,219.16,51.13
545,237,413,2,1636.78,0.05,1563.92,1545.96
546,238,239,2,306.40,0.39,300.42,73.39
547,238,147,1,590.19,0.39,272.74,87.28
548,239,332,1,677.82,0.00,317.18,360.64
549,239,368,4,721.08,0.00,1389.28,1495.04
550,239,209,4,704.52,0.00,1441.52,1376.56
551,240,102,2,1253.74,0.10,1636.22,620.51
552,240,405,2,1114.13,0.10,1759.68,245.75
553,241,78,2,622.23,0.24,776.80,168.99
554,242,443,1,617.04,0.10,383.70,171.64
555,242,115,1,606.91,0.10,400.80,145.42
556,243,104,1,848.06,0.10,564.84,198.41
557,243,318,1,654.77,0.10,356.69,232.60
558,243,14,2,117.86,0.10,139.86,72.29
559,243,296,2,334.40,0.10,311.86,290.06
560,244,409,2,989.79,0.05,1492.24,388.36
