ShipmentID,OrderID,Carrier,ShipDate,DeliveryDate,ShippingCost
96,3204,Evri,2024-12-05,2024-12-07,13.22
97,10343,DPD,2025-08-08,2025-08-15,9.79
98,14376,DPD,2022-02-05,2022-02-11,7.54
99,34792,DPD,2023-11-13,2023-11-17,15.42
100,22311,DPD,2025-10-26,2025-10-27,2.86
101,38042,DHL,2025-07-06,2025-07-12,17.04
102,33135,DHL,2022-06-21,2022-06-22,15.56
103,352,UPS,2022-03-17,2022-03-24,19.48
104,21931,"Royal Mail",2025-09-08,2025-09-13,9.51
105,1196,UPS,2022-04-12,2022-04-14,4.26
106,38544,UPS,2025-11-30,2025-12-06,19.50
107,4688,Evri,2024-10-14,2024-10-17,9.56
108,49933,Evri,2022-04-26,2022-05-02,3.02
109,1716,DPD,2025-02-24,2025-03-02,11.84
110,9368,UPS,2025-08-15,2025-08-21,17.90
111,5107,DHL,2022-12-27,2022-12-28,24.54
112,36184,DHL,2024-08-05,2024-08-09,9.93
113,18617,DPD,2024-05-03,2024-05-05,16.54
114,29332,"Royal Mail",2023-12-28,2024-01-01,19.76
115,36077,DPD,2025-02-20,2025-02-24,16.01
116,33502,Evri,2023-04-16,2023-04-18,8.94
117,4627,DHL,2023-03-18,2023-03-22,4.94
118,27599,Evri,2024-07-23,2024-07-30,7.36
119,16187,DPD,2025-12-14,2025-12-21,21.99
120,17719,Evri,2023-09-05,2023-09-12,22.52
121,7096,UPS,2022-02-16,2022-02-20,8.63
122,10407,"Royal Mail",2025-10-21,2025-10-27,21.80
123,12994,DHL,2024-03-16,2024-03-22,8.70
124,28323,DHL,2022-10-16,2022-10-22,2.82
125,37834,"Royal Mail",2024-07-03,2024-07-04,9.59
126,29467,Evri,2022-02-28,2022-03-02,17.87
127,48817,Evri,2023-12-09,2023-12-16,4.11
128,16580,DHL,2023-08-02,2023-08-04,18.91
129,45489,"Royal Mail",2023-06-23,2023-06-25,16.77
130,19950,DHL,2025-03-16,2025-03-17,17.25
131,45882,DHL,2025-08-29,2025-09-03,15.78
132,754,Unknown,2023-08-23,2023-08-27,4.85
133,2795,UPS,2024-02-19,2024-02-21,19.08
134,2649,UPS,2024-12-01,2024-12-03,17.24
135,21083,DHL,2025-06-22,2025-06-24,21.52
136,33622,UPS,2022-10-08,2022-10-13,21.44
137,48422,"Royal Mail",2023-10-15,2023-10-18,9.86
138,26322,UPS,2025-09-17,2025-09-21,9.77
139,22876,DHL,2024-12-04,2024-12-11,6.09
140,25601,"Royal Mail",2023-11-29,2023-12-01,8.55
141,49442,"Royal Mail",2025-12-05,2025-12-08,20.17
142,35359,DPD,2024-07-28,2024-07-31,12.61
143,21137,DPD,2024-01-12,2024-01-13,24.66
144,9789,"Royal Mail",2023-10-30,2023-11-02,15.94
145,44858,UPS,2024-08-08,2024-08-15,9.73
146,35715,"Royal Mail",2023-10-23,2023-10-28,7.77
147,21279,DPD,2025-11-29,2025-12-03,6.74
148,47802,Evri,2025-09-08,2025-09-15,16.61
149,1701,UPS,2024-08-22,2024-08-24,4.30
150,29246,DPD,2022-07-23,2022-07-27,23.73
151,46292,DHL,2022-01-16,2022-01-18,2.69
152,18650,"Royal Mail",2023-08-01,2023-08-08,18.90
153,48249,UPS,2023-06-05,2023-06-09,24.67
154,31568,UPS,2025-05-03,2025-05-06,14.01
155,7454,"Royal Mail",2024-12-05,2024-12-07,14.29
156,8376,DPD,2025-08-12,2025-08-18,5.54
157,45398,DHL,2025-08-30,2025-09-01,14.20
158,46874,UPS,2025-03-23,2025-03-29,16.19
159,47767,"Royal Mail",2022-11-28,2022-11-29,16.55
160,18283,"Royal Mail",2022-07-16,2022-07-22,14.29
161,3513,DPD,2025-03-06,2025-03-10,8.68
162,47050,Evri,2024-07-02,2024-07-03,17.12
163,15210,DHL,2024-12-03,2024-12-08,17.97
164,25476,"Royal Mail",2025-10-06,2025-10-08,6.29
165,39868,Evri,2025-03-11,2025-03-15,18.50
166,22489,"Royal Mail",2022-06-26,2022-07-01,6.35
167,39750,UPS,2022-11-09,2022-11-12,21.24
168,18062,DPD,2025-07-21,2025-07-22,7.87
169,2002,Evri,2024-12-13,2024-12-19,15.07
170,3710,"Royal Mail",2024-09-02,2024-09-08,8.75
171,23901,UPS,2024-03-08,2024-03-10,11.02
172,7276,"Royal Mail",2023-08-01,2023-08-02,3.49
173,17454,DHL,2024-04-03,2024-04-05,13.29
174,47750,UPS,2024-07-19,2024-07-23,21.98
175,20801,Evri,2024-04-11,2024-04-16,14.96
176,8133,Evri,2022-04-14,2022-04-20,18.88
177,26522,DHL,2023-12-08,2023-12-10,3.13
178,11250,DHL,2022-08-15,2022-08-22,6.75
179,20203,Evri,2023-08-15,2023-08-17,13.58
180,24235,DHL,2024-12-17,2024-12-23,10.08
181,9559,Unknown,2025-12-03,2025-12-04,22.99
182,27140,UPS,2025-11-28,2025-12-02,16.59
183,49732,Evri,2023-08-10,2023-08-11,12.96
184,33503,DPD,2024-02-15,2024-02-22,18.83
185,36941,DHL,2023-04-29,2023-05-02,20.90
186,35653,DHL,2023-05-22,2023-05-23,23.66
187,11227,UPS,2025-09-17,2025-09-18,14.24
188,12760,UPS,2024-05-22,2024-05-25,4.00
189,813,"Royal Mail",2024-08-23,2024-08-27,8.01
190,47600,UPS,2023-11-30,2023-12-03,6.29
191,45919,DHL,2024-05-20,2024-05-22,20.87
192,27647,Evri,2022-04-18,2022-04-21,12.08
193,42890,DPD,2024-12-15,2024-12-16,11.25
194,36889,Evri,2025-11-24,2025-11-30,7.45
195,6623,DHL,2023-05-05,2023-05-09,10.87
196,8438,"Royal Mail",2022-11-14,2022-11-15,7.88
197,25461,DPD,2024-11-30,2024-12-04,7.48
198,22026,DHL,2022-03-05,2022-03-10,13.64
199,42396,DPD,2024-12-21,2024-12-28,4.40
200,4643,UPS,2024-08-23,2024-08-26,12.03
201,6500,UPS,2025-08-03,2025-08-08,17.82
202,47259,UPS,2025-09-09,2025-09-11,22.11
203,13590,"Royal Mail",2022-08-01,2022-08-03,2.73
204,9224,"Royal Mail",2025-10-18,2025-10-19,4.43
205,36942,"Royal Mail",2024-06-21,2024-06-28,13.67
206,14335,Unknown,2023-06-01,2023-06-03,7.04
207,25926,Evri,2024-08-01,2024-08-04,20.46
208,9044,DPD,2025-03-24,2025-03-31,22.28
209,16770,Evri,2025-03-22,2025-03-24,23.27
210,33833,Evri,2022-12-22,2022-12-29,18.71
211,11895,"Royal Mail",2025-02-11,2025-02-13,10.10
212,42720,DHL,2025-12-03,2025-12-04,4.63
213,3846,UPS,2023-11-05,2023-11-06,7.91
214,23351,"Royal Mail",2023-09-03,2023-09-05,11.65
215,43865,"Royal Mail",2022-11-12,2022-11-17,6.38
216,36415,"Royal Mail",2022-09-09,2022-09-11,6.90
217,39926,"Royal Mail",2023-02-13,2023-02-14,14.51
218,48851,DPD,2023-07-20,2023-07-25,13.56
219,9811,DHL,2023-07-04,2023-07-06,15.10
220,40745,DHL,2025-12-17,2025-12-24,24.76
221,13715,Evri,2024-05-03,2024-05-08,18.38
222,44861,"Royal Mail",2025-09-06,2025-09-07,5.31
223,11365,DPD,2023-08-09,2023-08-13,2.86
224,40562,Evri,2025-11-26,2025-11-29,12.47
225,41827,"Royal Mail",2024-11-22,2024-11-23,13.64
226,8487,DHL,2025-04-01,2025-04-02,9.63
227,16455,DPD,2025-01-24,2025-01-26,24.39
228,NULL,Evri,2022-06-28,2022-06-30,7.18
229,4244,"Royal Mail",2022-07-21,2022-07-28,23.75
230,37292,UPS,2023-03-16,2023-03-20,4.74
231,26641,UPS,2023-03-11,2023-03-12,8.59
232,12574,Evri,2022-09-27,2022-09-30,14.20
233,24831,Evri,2024-06-07,2024-06-14,4.92
234,38152,UPS,2025-03-03,2025-03-07,18.24
235,39479,UPS,2023-07-29,2023-08-05,5.74
236,28592,Evri,2024-12-14,2024-12-15,17.93
237,38067,DHL,2023-08-15,2023-08-21,22.92
238,48163,DPD,2022-12-13,2022-12-20,5.30
239,6413,"Royal Mail",2025-08-03,2025-08-04,6.68
240,769,Unknown,2022-12-02,2022-12-09,19.06
241,390,DPD,2024-08-03,2024-08-09,24.46
242,18915,DHL,2024-11-18,2024-11-22,22.13
243,15633,"Royal Mail",2024-11-20,2024-11-26,24.26
244,12929,"Royal Mail",2025-06-01,2025-06-05,19.63
245,7801,UPS,2022-04-01,2022-04-05,9.83
246,44304,UPS,2023-08-14,2023-08-19,5.71
247,22015,DHL,2025-03-31,2025-04-06,11.95
248,11883,Unknown,2025-11-06,2025-11-09,21.08
249,27152,DHL,2022-09-01,2022-09-04,15.49
250,3761,DPD,2024-12-13,2024-12-14,17.45
251,25451,DPD,2025-12-02,2025-12-07,13.00
252,9006,UPS,2024-12-13,2024-12-17,24.90
253,22994,DHL,2024-11-24,2024-11-25,8.05
254,38088,UPS,2023-09-30,2023-10-05,6.82
255,36438,DPD,2024-08-25,2024-08-28,3.58
256,12405,DPD,2022-09-01,2022-09-06,19.99
257,30921,UPS,2023-10-24,2023-10-25,18.03
258,3800,DHL,2024-03-03,2024-03-06,20.80
259,39887,DHL,2023-04-25,2023-04-26,19.67
260,35872,"Royal Mail",2024-11-28,2024-11-30,13.23
261,4293,DPD,2023-12-22,2023-12-24,19.92
262,21347,"Royal Mail",2022-01-14,2022-01-21,18.26
263,26667,UPS,2024-12-09,2024-12-12,3.46
264,42071,Evri,2024-12-16,2024-12-22,21.31
265,22904,"Royal Mail",2022-05-10,2022-05-17,10.89
266,1104,DPD,2023-12-14,2023-12-15,24.75
267,28709,DHL,2023-08-15,2023-08-18,14.26
268,30157,DPD,2024-11-25,2024-11-28,4.85
269,10333,DPD,2023-10-13,2023-10-17,15.02
270,29173,DHL,2023-08-08,2023-08-14,19.20
271,49521,DPD,2022-11-21,2022-11-22,13.05
272,37573,"Royal Mail",2025-01-11,2025-01-14,19.07
273,7772,UPS,2025-10-16,2025-10-20,13.44
274,9518,UPS,2025-10-18,2025-10-24,5.15
275,24626,UPS,2025-03-31,2025-04-06,3.62
276,46070,Evri,2022-11-01,2022-11-05,7.30
277,15544,DPD,2022-12-11,2022-12-17,13.23
278,11696,UPS,2024-12-11,2024-12-18,2.53
279,4752,Evri,2024-09-04,2024-09-05,4.50
280,36477,DHL,2025-07-28,2025-07-30,14.09
281,15216,Evri,2024-07-19,2024-07-23,24.19
282,33747,UPS,2022-09-03,2022-09-04,19.91
283,24595,UPS,2023-08-09,2023-08-15,16.85
284,15604,DPD,2022-07-10,2022-07-15,6.91
285,47782,DPD,2022-07-25,2022-07-27,22.58
286,42822,Evri,2024-05-24,2024-05-28,11.23
287,39542,UPS,2022-12-05,2022-12-06,14.41
288,43986,DHL,2022-06-06,2022-06-09,17.40
289,47592,DHL,2024-06-14,2024-06-16,22.43
290,34889,"Royal Mail",2024-05-06,2024-05-12,9.08
291,NULL,DPD,2023-09-30,2023-10-02,15.62
292,36891,DPD,2023-11-29,2023-12-03,11.13
293,37829,DHL,2022-06-18,2022-06-24,9.49
294,32849,"Royal Mail",2023-09-27,2023-10-01,15.71
295,28030,DHL,2025-04-07,2025-04-08,13.47
296,26767,Evri,2022-01-24,2022-01-25,24.45
297,31709,UPS,2025-07-25,2025-08-01,8.64
298,11469,UPS,2024-01-23,2024-01-28,11.35
299,39376,"Royal Mail",2022-09-06,2022-09-13,22.99
300,30160,DPD,2023-12-09,2023-12-13,14.08
301,37683,UPS,2024-01-02,2024-01-04,23.05
302,11788,UPS,2023-03-21,2023-03-26,15.02
303,17691,"Royal Mail",2025-08-25,2025-08-27,14.84
304,1100,UPS,2023-07-02,2023-07-06,21.83
305,6341,DHL,2023-07-11,2023-07-14,22.35
306,12284,DPD,2023-06-19,2023-06-23,17.06
307,26701,Evri,2023-06-04,2023-06-05,21.33
308,7070,UPS,2022-03-10,2022-03-13,12.76
309,9449,DPD,2024-10-26,2024-10-27,7.05
310,6298,UPS,2024-04-19,2024-04-25,23.73
311,30784,UPS,2023-05-29,2023-06-01,5.88
312,7255,DPD,2023-02-15,2023-02-16,11.13
313,24104,"Royal Mail",2023-08-19,2023-08-21,4.03
314,43026,"Royal Mail",2025-10-11,2025-10-14,5.29
315,38737,DHL,2023-07-28,2023-08-03,23.29
316,14057,Evri,2023-08-09,2023-08-13,4.48
317,14941,UPS,2023-09-23,2023-09-30,22.75
318,6560,DHL,2025-05-16,2025-05-19,15.40
319,31994,DPD,2025-07-30,2025-08-01,4.33
320,6428,UPS,2022-04-23,2022-04-26,11.39
321,48796,"Royal Mail",2023-12-10,2023-12-14,16.32
322,9100,"Royal Mail",2023-12-23,2023-12-29,14.34
323,14639,"Royal Mail",2023-05-10,2023-05-16,12.96
324,42022,"Royal Mail",2024-07-11,2024-07-15,7.27
325,19128,"Royal Mail",2022-07-28,2022-08-04,5.01
326,13598,DHL,2025-06-01,2025-06-06,14.71
327,41687,"Royal Mail",2025-09-14,2025-09-17,7.55
328,38580,Evri,2025-06-24,2025-06-28,6.43
329,32853,"Royal Mail",2024-09-15,2024-09-17,6.41
330,22313,UPS,2022-11-02,2022-11-06,16.96
331,40060,DPD,2025-09-08,2025-09-14,11.21
332,14938,Evri,2024-12-18,2024-12-25,11.32
333,3995,DHL,2022-05-03,2022-05-04,2.58
334,43904,Evri,2022-11-26,2022-12-03,16.07
335,41438,"Royal Mail",2024-03-06,2024-03-10,13.96
336,12017,UPS,2024-05-27,2024-05-30,6.96
337,45316,UPS,2025-07-31,2025-08-02,7.47
338,22887,Evri,2022-10-22,2022-10-25,13.90
339,25489,Evri,2022-03-25,2022-04-01,4.52
340,27533,Evri,2022-02-24,2022-02-25,14.06
341,3861,"Royal Mail",2023-04-21,2023-04-28,15.44
342,3475,DHL,2023-04-25,2023-04-30,10.28
343,11252,UPS,2025-03-18,2025-03-22,11.83
344,28666,Evri,2024-07-21,2024-07-24,2.75
345,39379,Evri,2022-08-07,2022-08-11,8.06
346,35494,UPS,2024-04-04,2024-04-05,16.01
347,15248,UPS,2024-04-04,2024-04-07,3.07
348,17511,Evri,2024-07-03,2024-07-10,5.07
349,45752,UPS,2024-12-15,2024-12-17,18.24
350,43213,Evri,2024-12-18,2024-12-22,8.37
351,13080,"Royal Mail",2025-03-10,2025-03-16,8.48
352,15559,Evri,2023-11-12,2023-11-13,17.48
353,812,DHL,2024-12-14,2024-12-16,9.95
354,1992,"Royal Mail",2022-02-17,2022-02-18,12.40
355,9741,"Royal Mail",2025-03-05,2025-03-06,5.32
356,39438,"Royal Mail",2022-11-26,2022-11-29,18.42
357,44499,UPS,2022-08-21,2022-08-28,8.90
358,34989,Evri,2025-04-07,2025-04-11,3.89
359,37012,UPS,2023-08-28,2023-08-29,20.15
360,29375,DHL,2022-07-28,2022-08-01,16.70
361,40471,DPD,2023-09-08,2023-09-09,4.56
362,23537,DHL,2024-08-17,2024-08-18,7.09
363,26796,DPD,2022-07-26,2022-07-31,5.86
364,5621,DHL,2022-08-17,2022-08-23,8.40
365,23332,UPS,2025-09-11,2025-09-16,16.43
366,27071,DHL,2025-11-25,2025-12-02,5.33
367,29973,"Royal Mail",2022-11-11,2022-11-16,10.23
368,7846,DPD,2025-09-03,2025-09-08,8.99
369,45150,UPS,2022-10-06,2022-10-10,19.79
370,44704,DHL,2025-11-25,2025-11-26,8.83
371,23622,DHL,2023-03-18,2023-03-21,13.01
372,43673,Unknown,2023-03-23,2023-03-28,5.62
373,26104,"Royal Mail",2024-07-16,2024-07-17,21.54
374,5955,"Royal Mail",2022-11-30,2022-12-01,15.32
375,45877,DPD,2023-07-13,2023-07-17,12.48
376,28760,Evri,2024-08-03,2024-08-07,6.95
377,35403,DHL,2023-10-08,2023-10-15,12.77
378,3203,Evri,2024-05-19,2024-05-21,19.69
379,42200,DHL,2025-06-30,2025-07-06,3.49
380,44686,Evri,2025-08-26,2025-09-02,4.61
381,21004,"Royal Mail",2023-08-17,2023-08-23,20.01
382,6097,DHL,2025-04-07,2025-04-08,21.50
383,43407,"Royal Mail",2025-11-22,2025-11-29,18.82
384,1159,Evri,2025-09-21,2025-09-22,23.21
385,19871,DPD,2022-03-18,2022-03-22,11.88
386,10987,"Royal Mail",2023-12-04,2023-12-07,12.40
387,43580,Evri,2025-05-22,2025-05-29,3.13
388,12750,UPS,2022-12-15,2022-12-20,23.63
389,23354,DPD,2024-03-30,2024-04-03,3.12
390,14840,DHL,2025-11-20,2025-11-26,10.79
391,45531,DHL,2023-08-21,2023-08-26,18.41
392,29193,DHL,2025-11-27,2025-12-02,10.25
393,39400,UPS,2025-11-24,2025-11-27,19.86
394,10043,DPD,2025-07-05,2025-07-10,2.65
395,10900,"Royal Mail",2022-11-23,2022-11-27,12.39
396,23922,DHL,2024-09-01,2024-09-08,18.97
397,12521,DPD,2022-03-17,2022-03-24,6.92
398,27936,Evri,2022-06-07,2022-06-13,19.24
399,19913,Evri,2022-11-24,2022-11-25,19.48
400,6509,DPD,2025-04-25,2025-04-27,23.86
401,13581,Evri,2022-09-14,2022-09-18,7.14
402,42976,Unknown,2024-06-23,2024-06-29,13.51
403,22805,Evri,2022-07-01,2022-07-05,19.16
404,49242,"Royal Mail",2025-12-03,2025-12-09,21.12
405,40435,DHL,2023-05-07,2023-05-14,4.68
406,33386,DPD,2022-09-23,2022-09-26,6.96
407,8763,"Royal Mail",2025-09-29,2025-10-05,21.98
408,32428,DHL,2024-09-18,2024-09-24,11.35
409,17184,DHL,2025-11-29,2025-12-03,7.78
410,42946,DHL,2024-01-03,2024-01-07,24.08
411,25371,"Royal Mail",2023-05-18,2023-05-25,19.08
412,30825,UPS,2023-12-03,2023-12-07,10.65
413,33470,DPD,2023-04-28,2023-04-30,7.98
414,13326,DPD,2022-05-09,2022-05-16,6.88
415,39880,"Royal Mail",2025-12-14,2025-12-16,10.65
416,23099,UPS,2023-10-03,2023-10-04,10.30
417,9818,DPD,2025-03-19,2025-03-25,14.88
418,25340,Evri,2024-06-04,2024-06-08,17.75
419,9133,"Royal Mail",2022-05-31,2022-06-03,20.78
420,27485,DHL,2024-05-25,2024-05-30,10.33
421,5437,DPD,2024-12-03,2024-12-04,10.03
422,20880,UPS,2022-12-15,2022-12-20,15.27
423,43971,DPD,2025-05-24,2025-05-27,3.19
424,42232,Evri,2024-09-14,2024-09-21,20.91
425,31679,Evri,2023-08-13,2023-08-17,22.57
426,27111,DPD,2022-12-10,2022-12-14,10.56
427,20579,UPS,2022-07-29,2022-07-31,12.16
428,45981,"Royal Mail",2022-06-06,2022-06-07,10.00
429,581,DHL,2022-08-11,2022-08-15,13.69
430,18008,DPD,2024-04-25,2024-05-01,19.95
431,30913,DPD,2023-10-15,2023-10-20,13.41
432,7077,DHL,2024-08-09,2024-08-13,19.59
433,46196,DHL,2022-10-28,2022-11-02,9.53
434,4633,DPD,2025-01-28,2025-02-02,6.14
435,34638,UPS,2023-08-16,2023-08-23,6.59
436,23635,Evri,2022-12-12,2022-12-19,16.89
437,19588,UPS,2025-11-24,2025-11-30,7.39
438,41504,Evri,2024-10-19,2024-10-24,15.93
439,15936,UPS,2024-04-28,2024-05-04,9.49
440,49314,"Royal Mail",2023-12-11,2023-12-12,9.10
441,12879,"Royal Mail",2022-09-16,2022-09-17,14.67
442,NULL,Evri,2023-04-27,2023-05-02,4.33
443,4181,Evri,2024-08-09,2024-08-11,16.90
444,35418,DPD,2022-05-22,2022-05-26,13.84
445,43225,"Royal Mail",2022-07-11,2022-07-18,22.78
446,27730,UPS,2024-05-23,2024-05-24,24.54
447,46019,UPS,2022-12-03,2022-12-07,23.04
448,19611,Evri,2023-03-26,2023-03-30,4.10
449,38448,"Royal Mail",2023-07-26,2023-07-31,6.70
450,28214,"Royal Mail",2024-08-10,2024-08-14,20.12
451,46421,Evri,2022-03-29,2022-03-30,18.84
452,33899,"Royal Mail",2025-10-20,2025-10-22,8.36
453,15131,"Royal Mail",2022-12-21,2022-12-25,23.69
454,13323,"Royal Mail",2022-06-27,2022-07-02,11.37
455,28358,DHL,2025-07-21,2025-07-27,6.15
456,23801,Evri,2022-07-28,2022-07-29,12.67
457,4955,DHL,2022-04-01,2022-04-02,18.26
458,3184,UPS,2023-04-25,2023-04-26,18.92
459,27351,DHL,2023-11-24,2023-11-28,22.86
460,44670,"Royal Mail",2025-11-25,2025-11-30,18.62
461,2124,DHL,2023-12-16,2023-12-17,23.56
462,13444,Evri,2023-05-07,2023-05-12,20.51
463,7564,DHL,2022-10-18,2022-10-24,10.27
464,31317,Evri,2023-10-24,2023-10-30,22.09
465,35348,DHL,2022-10-04,2022-10-11,19.98
466,29438,"Royal Mail",2023-05-17,2023-05-21,17.03
467,26291,DPD,2025-08-13,2025-08-14,13.82
468,7043,DHL,2025-10-28,2025-11-01,10.20
469,29207,Evri,2024-03-23,2024-03-28,20.18
470,39295,DPD,2023-02-02,2023-02-06,6.27
471,6224,DHL,2023-11-24,2023-12-01,21.27
472,44963,DHL,2022-12-12,2022-12-16,20.98
473,7563,DHL,2023-03-23,2023-03-26,17.90
474,42829,"Royal Mail",2023-12-31,2024-01-05,4.60
475,NULL,DPD,2025-03-14,2025-03-20,21.47
476,29999,DPD,2023-08-07,2023-08-10,19.87
477,37045,Evri,2025-03-20,2025-03-22,7.17
478,15507,"Royal Mail",2024-05-02,2024-05-06,9.33
479,4947,UPS,2025-03-07,2025-03-10,10.44
480,11967,DPD,2022-04-10,2022-04-12,16.35
481,2768,Evri,2023-12-06,2023-12-10,3.29
482,20686,UPS,2023-03-26,2023-04-02,2.69
483,34952,"Royal Mail",2025-01-30,2025-02-02,19.42
484,15797,DPD,2025-06-17,2025-06-22,6.21
485,18081,DPD,2022-03-18,2022-03-24,3.74
486,39173,DPD,2023-10-08,2023-10-14,3.66
487,21307,DHL,2022-12-17,2022-12-22,12.98
488,38696,DPD,2023-08-09,2023-08-12,24.60
489,7223,UPS,2023-04-04,2023-04-10,3.30
490,NULL,DPD,2024-11-27,2024-11-28,7.20
491,28567,Evri,2022-06-03,2022-06-05,3.48
492,42311,DHL,2024-08-27,2024-09-03,20.19
493,36315,UPS,2025-07-29,2025-08-02,16.28
494,45459,DPD,2024-10-21,2024-10-25,6.15
495,26017,UPS,2022-10-11,2022-10-12,13.70
496,31347,DHL,2023-09-06,2023-09-12,11.69
497,35052,"Royal Mail",2025-04-27,2025-05-03,13.54
498,37522,DPD,2025-10-05,2025-10-06,24.28
499,27964,"Royal Mail",2023-12-12,2023-12-17,17.34
500,28981,"Royal Mail",2024-07-12,2024-07-19,8.64
