ReturnID,OrderID,IsValidOrder,ReturnDate,ReturnReason,RefundAmount
65,34532,Yes,2024-12-11,"Late Delivery",293.79
66,32458,Yes,2025-11-26,"Late Delivery",707.39
67,22503,Yes,2022-12-14,Damaged,1414.56
68,14419,Yes,2024-08-19,"Faulty Product",887.06
69,25728,Yes,2022-09-09,Damaged,806.67
70,33150,Yes,2026-01-16,"Faulty Product",506.86
71,3758,Yes,2025-05-26,Damaged,249.46
72,41671,Yes,2022-09-26,"Wrong Item",1118.77
73,43185,Yes,2025-05-11,"Faulty Product",276.72
74,39762,Yes,2023-12-06,"Wrong Item",664.47
75,11794,Yes,2023-06-21,"Wrong Item",733.02
76,42848,Yes,2025-09-01,Damaged,1181.73
77,48684,Yes,2022-10-31,"Late Delivery",1680.98
78,42646,Yes,2025-07-12,"Faulty Product",1057.02
79,22668,Yes,2022-05-28,Damaged,1790.41
80,32445,Yes,2024-07-21,"Late Delivery",680.54
81,23596,Yes,2022-06-26,"Late Delivery",1302.56
82,33125,Yes,2023-12-23,"Late Delivery",859.72
83,28934,Yes,2022-11-06,"Late Delivery",503.38
84,11497,Yes,2025-05-08,"Faulty Product",1571.89
85,6359,Yes,2024-04-30,"Faulty Product",501.58
86,6614,Yes,2023-10-13,"Wrong Item",254.13
87,18606,Yes,2024-05-13,"Changed Mind",1505.68
88,24647,Yes,2023-08-09,"Faulty Product",432.57
89,37661,Yes,2022-01-31,"Changed Mind",1083.44
90,31485,Yes,2024-05-06,"Wrong Item",1295.50
91,38839,Yes,2023-01-14,"Changed Mind",835.72
92,8117,Yes,2023-04-26,"Late Delivery",831.41
93,13990,Yes,2024-06-24,"Faulty Product",899.42
94,34606,Yes,2024-07-16,"Wrong Item",742.77
95,9160,Yes,2026-01-03,Damaged,394.43
96,3093,Yes,2022-07-03,"Wrong Item",215.22
97,15165,Yes,2023-07-06,"Wrong Item",764.15
98,25901,Yes,2024-06-23,"Faulty Product",78.11
99,37168,Yes,2025-12-19,"Changed Mind",913.46
100,11663,Yes,2024-01-19,"Changed Mind",775.26
101,26452,Yes,2022-05-10,"Late Delivery",454.82
102,36072,Yes,2022-04-12,"Faulty Product",775.33
103,26098,Yes,2023-05-23,"Faulty Product",187.53
104,15311,Yes,2025-08-26,"Faulty Product",1497.39
105,30852,Yes,2024-07-31,"Faulty Product",909.07
106,39261,Yes,2022-04-27,Damaged,369.17
107,6774,Yes,2022-05-12,Damaged,184.27
108,39146,Yes,2023-08-22,"Late Delivery",989.38
109,41677,Yes,2025-02-09,"Changed Mind",708.87
110,5999,Yes,2025-10-04,"Faulty Product",580.17
111,2711,Yes,2022-07-03,Damaged,286.06
112,9090,Yes,2024-03-12,"Wrong Item",368.30
113,13469,Yes,2023-05-22,"Wrong Item",1063.47
114,48008,Yes,2022-09-07,"Wrong Item",944.53
115,40349,Yes,2025-06-13,"Faulty Product",644.70
116,29496,Yes,2024-08-30,Damaged,1549.52
117,47671,Yes,2022-12-08,"Changed Mind",1004.83
118,6885,Yes,2025-08-24,"Changed Mind",998.33
119,37828,Yes,2024-08-26,"Changed Mind",1012.41
120,511,Yes,2022-04-19,"Wrong Item",610.96
121,36050,Yes,2024-10-17,"Wrong Item",692.48
122,10517,Yes,2023-07-15,Damaged,289.15
123,44916,Yes,2022-08-03,"Wrong Item",247.83
124,26052,Yes,2022-06-17,Damaged,1236.95
125,40603,Yes,2022-11-28,"Faulty Product",281.97
126,13972,Yes,2022-09-30,Damaged,294.98
127,36987,Yes,2023-08-18,"Faulty Product",336.32
128,48922,Yes,2025-06-17,"Changed Mind",933.03
129,12276,Yes,2022-02-02,"Late Delivery",1337.71
130,6123,Yes,2025-11-25,"Late Delivery",118.73
131,25085,Yes,2023-07-13,Damaged,703.54
132,45054,Yes,2024-12-24,Damaged,694.92
133,20015,Yes,2026-01-07,"Late Delivery",431.30
134,31658,Yes,2024-07-19,"Late Delivery",285.79
135,13687,Yes,2026-01-13,"Changed Mind",612.79
136,34033,Yes,2022-11-26,"Wrong Item",128.04
137,23130,Yes,2023-11-22,"Late Delivery",421.72
138,25136,Yes,2022-05-19,"Late Delivery",225.12
139,33484,Yes,2025-12-17,"Faulty Product",228.98
140,444444,NO,2023-09-16,"Faulty Product",1044.43
141,6750,Yes,2025-06-10,"Wrong Item",544.11
142,21089,Yes,2024-08-31,"Changed Mind",897.37
143,28130,Yes,2022-04-28,"Changed Mind",1191.38
144,42268,Yes,2023-01-29,Damaged,867.73
145,31200,Yes,2022-12-15,"Wrong Item",823.57
146,27417,Yes,2022-11-25,"Changed Mind",1013.11
147,43992,Yes,2024-05-21,"Wrong Item",173.29
148,17664,Yes,2024-12-09,"Wrong Item",779.27
149,7126,Yes,2022-12-17,"Late Delivery",712.42
150,24029,Yes,2022-08-10,"Late Delivery",551.73
151,38843,Yes,2023-05-31,"Late Delivery",676.93
152,38377,Yes,2022-12-06,Damaged,570.03
153,28082,Yes,2025-12-30,"Changed Mind",144.36
154,14792,Yes,2022-10-19,"Late Delivery",525.47
155,36011,Yes,2023-08-06,"Late Delivery",451.76
156,7814,Yes,2023-07-04,"Late Delivery",469.51
157,36590,Yes,2022-09-26,"Faulty Product",9.32
158,732,Yes,2026-01-21,"Changed Mind",1323.74
159,29570,Yes,2024-09-12,"Wrong Item",912.05
160,49275,Yes,2022-08-15,Damaged,217.55
161,13635,Yes,2023-08-23,Damaged,557.79
162,39919,Yes,2022-12-13,"Changed Mind",470.78
163,36895,Yes,2025-11-10,"Faulty Product",79.73
164,36996,Yes,2022-06-04,"Wrong Item",337.73
165,26475,Yes,2023-09-12,"Wrong Item",304.62
166,2600,Yes,2024-03-28,"Late Delivery",629.40
167,35782,Yes,2022-04-07,"Changed Mind",1306.45
168,27789,Yes,2024-10-27,Damaged,251.65
169,3268,Yes,2024-06-09,"Late Delivery",68.74
170,11355,Yes,2025-12-14,"Wrong Item",759.41
171,30471,Yes,2025-06-03,"Changed Mind",97.50
172,39225,Yes,2022-06-11,"Wrong Item",214.08
173,44588,Yes,2025-10-17,"Changed Mind",1733.19
174,27106,Yes,2022-06-12,Damaged,904.76
175,17727,Yes,2023-07-19,"Wrong Item",848.47
176,18957,Yes,2023-07-15,"Faulty Product",159.79
177,21215,Yes,2022-11-04,"Changed Mind",652.16
178,8355,Yes,2022-01-26,"Wrong Item",1159.69
179,21372,Yes,2025-12-21,"Changed Mind",1141.10
180,27174,Yes,2025-03-17,"Late Delivery",1226.54
181,2439,Yes,2023-09-17,"Late Delivery",772.51
182,46170,Yes,2026-01-03,Damaged,922.08
183,39954,Yes,2024-08-13,"Changed Mind",1226.58
184,49664,Yes,2024-08-31,"Wrong Item",106.99
185,4940,Yes,2023-04-03,"Changed Mind",197.15
186,21426,Yes,2022-04-17,"Faulty Product",962.55
187,4627,Yes,2023-04-07,Damaged,885.73
188,37522,Yes,2025-10-24,Damaged,79.42
189,40389,Yes,2022-02-22,"Late Delivery",874.29
190,38779,Yes,2022-08-19,Damaged,694.12
191,18064,Yes,2022-12-12,"Faulty Product",711.60
192,35650,Yes,2022-05-29,"Wrong Item",620.58
193,11596,Yes,2022-12-05,"Changed Mind",766.87
194,29104,Yes,2022-06-03,"Changed Mind",432.13
195,34764,Yes,2022-08-02,Damaged,566.56
196,38732,Yes,2023-06-25,"Faulty Product",895.52
197,26367,Yes,2023-04-02,"Changed Mind",709.93
198,24457,Yes,2023-08-30,Damaged,271.57
199,26042,Yes,2025-09-04,"Faulty Product",1532.63
200,10957,Yes,2024-05-29,Damaged,542.76
201,35539,Yes,2024-08-06,"Changed Mind",1100.81
202,10038,Yes,2024-08-18,"Faulty Product",689.41
203,33041,Yes,2024-03-22,"Late Delivery",649.93
204,3660,Yes,2025-11-19,"Faulty Product",847.29
205,41378,Yes,2023-12-07,Damaged,410.63
206,39816,Yes,2022-12-21,Damaged,418.06
207,4992,Yes,2025-01-31,"Changed Mind",1305.44
208,30763,Yes,2025-05-19,"Changed Mind",248.00
209,14209,Yes,2025-01-30,"Late Delivery",563.42
210,28442,Yes,2023-08-31,"Changed Mind",414.64
211,16900,Yes,2022-12-10,"Wrong Item",822.51
212,25268,Yes,2025-05-14,Damaged,324.24
213,41660,Yes,2025-05-25,"Late Delivery",210.09
214,20028,Yes,2024-11-09,Damaged,966.90
215,20610,Yes,2025-10-01,"Wrong Item",317.32
216,49640,Yes,2024-07-24,Damaged,695.25
217,41991,Yes,2024-09-21,"Changed Mind",378.38
218,40808,Yes,2024-12-02,"Late Delivery",32.66
219,15684,Yes,2023-12-16,"Changed Mind",1294.09
220,49470,Yes,2024-03-14,"Faulty Product",521.66
221,20916,Yes,2022-08-16,"Wrong Item",722.37
222,15497,Yes,2024-05-05,"Faulty Product",369.44
223,43425,Yes,2024-11-20,Damaged,294.79
224,41082,Yes,2023-11-26,Damaged,837.38
225,12821,Yes,2022-02-28,"Changed Mind",163.45
226,40964,Yes,2025-04-18,"Late Delivery",1024.01
227,11671,Yes,2024-10-26,Damaged,1075.20
228,21418,Yes,2025-04-25,"Wrong Item",554.27
229,16021,Yes,2025-07-25,"Late Delivery",443.64
230,45179,Yes,2025-06-05,"Changed Mind",379.34
231,23892,Yes,2022-05-08,"Changed Mind",837.23
232,11337,Yes,2022-03-17,"Changed Mind",641.91
233,29087,Yes,2022-07-30,"Wrong Item",1169.39
234,37707,Yes,2025-06-01,"Wrong Item",572.82
235,47768,Yes,2024-08-08,"Wrong Item",1252.53
236,17330,Yes,2022-08-18,"Changed Mind",238.49
237,39289,Yes,2024-01-28,"Wrong Item",417.86
238,43692,Yes,2025-04-17,"Late Delivery",538.89
239,37972,Yes,2025-11-30,"Faulty Product",605.41
240,32936,Yes,2025-12-09,"Late Delivery",1000.99
241,8897,Yes,2022-04-25,Damaged,282.11
242,49403,Yes,2022-11-13,Damaged,1326.16
243,10194,Yes,2025-06-26,Damaged,435.49
244,33100,Yes,2022-03-10,"Faulty Product",1211.14
245,41516,Yes,2022-04-28,"Changed Mind",569.86
246,42048,Yes,2023-07-02,"Faulty Product",68.39
247,14915,Yes,2022-07-02,Damaged,855.47
248,46830,Yes,2025-03-02,Damaged,271.49
249,23570,Yes,2024-12-15,"Late Delivery",924.59
250,36198,Yes,2022-08-20,"Wrong Item",680.03
251,15834,Yes,2022-06-01,"Late Delivery",377.39
252,22761,Yes,2022-12-30,"Late Delivery",1169.44
253,27175,Yes,2025-10-31,"Changed Mind",231.27
254,34400,Yes,2023-10-02,Damaged,356.29
255,33756,Yes,2023-09-17,"Changed Mind",560.18
256,38215,Yes,2023-09-28,Damaged,573.24
257,14877,Yes,2025-12-08,Damaged,216.03
258,28337,Yes,2025-09-10,"Faulty Product",634.37
259,32746,Yes,2023-01-23,"Wrong Item",802.34
260,32308,Yes,2023-07-09,"Wrong Item",997.77
261,24727,Yes,2025-06-17,"Late Delivery",988.65
262,24775,Yes,2022-03-27,"Faulty Product",446.28
263,7255,Yes,2023-02-20,"Changed Mind",1035.78
264,22608,Yes,2022-01-07,"Wrong Item",612.85
265,14857,Yes,2025-10-31,Damaged,939.10
266,38646,Yes,2025-11-30,"Wrong Item",651.69
267,2181,Yes,2022-07-30,"Faulty Product",276.16
268,16484,Yes,2023-02-19,"Changed Mind",935.32
269,9765,Yes,2024-07-24,"Faulty Product",955.68
270,21419,Yes,2024-04-21,"Late Delivery",729.35
271,7220,Yes,2024-06-22,Damaged,857.12
272,10048,Yes,2025-12-25,"Wrong Item",423.52
273,40028,Yes,2025-01-08,"Wrong Item",677.18
274,43074,Yes,2023-11-04,"Faulty Product",740.08
275,34911,Yes,2025-07-01,Damaged,421.70
276,374,Yes,2022-01-23,"Changed Mind",367.27
277,31838,Yes,2022-06-02,"Late Delivery",431.92
278,30878,Yes,2024-12-22,"Wrong Item",205.51
279,4966,Yes,2025-03-23,Damaged,1351.15
280,21416,Yes,2022-01-13,"Faulty Product",1179.30
281,29235,Yes,2022-07-21,"Changed Mind",443.55
282,6470,Yes,2023-07-07,"Late Delivery",1412.94
283,34250,Yes,2022-05-24,"Wrong Item",632.87
284,42850,Yes,2022-08-04,Damaged,1361.23
285,17473,Yes,2022-05-13,"Changed Mind",392.40
286,19644,Yes,2025-10-05,"Faulty Product",62.99
287,33203,Yes,2022-12-29,"Wrong Item",780.89
288,35696,Yes,2022-07-18,"Faulty Product",851.99
289,46080,Yes,2022-07-22,"Late Delivery",1207.50
290,29346,Yes,2024-12-09,"Faulty Product",751.50
291,444444,NO,2024-07-09,"Wrong Item",1510.02
292,8788,Yes,2024-12-11,"Faulty Product",838.98
293,24471,Yes,2024-08-16,"Late Delivery",761.85
294,1457,Yes,2024-10-22,"Wrong Item",196.03
295,31319,Yes,2022-12-28,Damaged,163.96
296,34789,Yes,2024-11-30,"Wrong Item",61.57
297,17290,Yes,2025-05-13,Damaged,1144.80
298,23454,Yes,2025-04-30,"Wrong Item",1396.89
299,29713,Yes,2024-04-11,"Changed Mind",117.23
300,5279,Yes,2022-02-17,Damaged,744.28
301,30268,Yes,2024-12-22,Damaged,557.71
302,38633,Yes,2024-02-26,"Late Delivery",460.65
303,7899,Yes,2025-11-07,"Wrong Item",1258.35
304,345,Yes,2022-07-28,Damaged,290.17
305,13962,Yes,2023-08-12,"Faulty Product",1107.13
306,39657,Yes,2024-06-18,"Late Delivery",188.32
307,23733,Yes,2023-01-20,"Wrong Item",334.11
308,24541,Yes,2023-03-04,Damaged,522.29
309,17942,Yes,2025-07-23,"Wrong Item",400.14
310,62,Yes,2024-11-04,"Late Delivery",167.41
311,9920,Yes,2023-05-02,"Faulty Product",633.75
312,29284,Yes,2022-09-12,Damaged,1294.82
313,32414,Yes,2022-11-14,"Faulty Product",1193.97
314,48179,Yes,2026-01-10,"Wrong Item",199.02
315,27781,Yes,2022-05-03,"Faulty Product",574.35
316,17116,Yes,2024-07-09,"Late Delivery",373.62
317,6659,Yes,2025-12-07,"Late Delivery",70.54
318,39189,Yes,2022-06-06,"Wrong Item",1168.84
319,4923,Yes,2022-12-21,"Wrong Item",219.01
320,11349,Yes,2025-06-11,Damaged,1707.22
321,18005,Yes,2022-10-29,Damaged,1277.97
322,43906,Yes,2024-03-27,"Wrong Item",400.01
323,34421,Yes,2025-06-28,"Late Delivery",32.20
324,14029,Yes,2022-08-25,"Faulty Product",1426.03
325,1857,Yes,2022-07-14,"Wrong Item",447.91
326,36086,Yes,2023-01-24,"Late Delivery",79.43
327,32803,Yes,2022-08-16,"Wrong Item",66.36
328,48635,Yes,2024-12-11,"Wrong Item",615.13
329,37742,Yes,2025-07-07,Damaged,217.95
330,1004,Yes,2025-06-09,Damaged,813.70
331,31653,Yes,2022-08-27,"Late Delivery",9.48
332,17572,Yes,2023-08-06,"Faulty Product",974.80
333,3357,Yes,2025-12-19,"Faulty Product",431.76
334,36874,Yes,2023-09-04,Damaged,229.96
335,17541,Yes,2022-05-05,"Faulty Product",1205.36
336,23668,Yes,2022-06-19,"Wrong Item",304.56
337,48337,Yes,2023-06-03,"Late Delivery",361.13
338,34827,Yes,2024-07-02,"Late Delivery",976.26
339,25388,Yes,2025-10-19,Damaged,929.10
340,4979,Yes,2023-01-19,"Wrong Item",90.47
341,13710,Yes,2023-04-03,"Late Delivery",684.44
342,44711,Yes,2022-08-12,"Wrong Item",920.31
343,29672,Yes,2023-07-27,"Wrong Item",181.05
344,48013,Yes,2024-11-07,"Changed Mind",822.15
345,22346,Yes,2023-07-21,"Late Delivery",663.27
346,39722,Yes,2024-10-31,Damaged,1375.60
347,9018,Yes,2025-03-05,Damaged,50.89
348,37992,Yes,2025-07-27,Damaged,251.56
349,12928,Yes,2024-09-20,Damaged,990.11
350,10843,Yes,2024-03-12,Damaged,115.64
351,23075,Yes,2024-12-24,"Late Delivery",553.29
352,44244,Yes,2022-11-15,"Changed Mind",645.73
353,47064,Yes,2025-08-30,"Wrong Item",1153.26
354,70,Yes,2023-12-15,"Wrong Item",719.20
355,41494,Yes,2025-03-30,"Faulty Product",201.76
356,4500,Yes,2025-09-14,"Late Delivery",1300.63
357,25313,Yes,2024-10-11,"Changed Mind",76.84
358,9038,Yes,2025-01-13,Damaged,46.74
359,45216,Yes,2022-09-26,"Changed Mind",1032.67
360,34949,Yes,2023-12-30,Damaged,199.95
361,3479,Yes,2025-10-04,"Late Delivery",137.57
362,32774,Yes,2025-11-09,"Faulty Product",426.59
363,44500,Yes,2023-12-06,"Wrong Item",560.57
364,42358,Yes,2022-11-29,Damaged,664.93
365,16424,Yes,2024-12-29,"Late Delivery",722.13
366,30413,Yes,2023-03-15,"Faulty Product",596.77
367,24440,Yes,2023-12-26,"Wrong Item",211.16
368,16571,Yes,2023-07-21,"Faulty Product",216.56
369,17953,Yes,2026-01-06,"Changed Mind",764.40
370,39239,Yes,2022-06-29,"Changed Mind",627.19
371,38273,Yes,2023-07-05,"Wrong Item",1275.35
372,7884,Yes,2025-07-27,Damaged,743.17
373,42563,Yes,2022-08-22,"Changed Mind",35.00
374,48760,Yes,2023-10-07,"Changed Mind",559.76
375,26886,Yes,2023-08-18,"Wrong Item",1178.39
376,6660,Yes,2024-12-14,"Faulty Product",379.75
377,35302,Yes,2022-03-31,"Wrong Item",725.69
378,32913,Yes,2024-05-24,"Changed Mind",261.61
379,23994,Yes,2024-06-23,"Wrong Item",571.99
380,44808,Yes,2024-11-12,"Wrong Item",340.67
381,36298,Yes,2022-07-11,"Faulty Product",1246.54
382,45899,Yes,2024-10-16,"Faulty Product",560.45
383,15238,Yes,2024-12-10,"Late Delivery",456.38
384,28129,Yes,2022-07-21,Damaged,411.46
385,39648,Yes,2024-12-10,"Late Delivery",476.01
386,27241,Yes,2025-12-19,"Changed Mind",436.76
387,39622,Yes,2025-03-30,"Late Delivery",231.06
388,12680,Yes,2024-09-05,"Changed Mind",97.75
389,37459,Yes,2023-02-27,Damaged,1541.24
390,10462,Yes,2025-05-19,"Late Delivery",780.10
391,38267,Yes,2023-07-04,"Faulty Product",1436.72
392,40308,Yes,2025-11-29,"Late Delivery",784.57
393,31793,Yes,2025-10-03,"Late Delivery",619.80
394,16203,Yes,2023-03-06,"Late Delivery",68.91
395,7196,Yes,2023-11-16,"Faulty Product",656.91
396,25519,Yes,2024-08-17,Damaged,1276.24
397,444444,NO,2025-11-18,"Faulty Product",782.56
398,27803,Yes,2025-09-10,Damaged,171.68
399,2900,Yes,2023-12-09,Damaged,1088.98
400,115,Yes,2025-06-25,"Changed Mind",1057.67
401,4694,Yes,2024-09-23,Damaged,864.44
402,43413,Yes,2022-07-24,"Changed Mind",1293.05
403,2403,Yes,2024-03-11,"Faulty Product",38.05
404,39396,Yes,2022-12-16,"Faulty Product",1347.43
405,48080,Yes,2022-08-02,"Late Delivery",1182.00
406,25088,Yes,2025-10-27,"Wrong Item",939.43
407,44668,Yes,2024-01-10,"Faulty Product",394.19
408,11993,Yes,2024-10-18,"Faulty Product",481.01
409,15838,Yes,2023-07-06,"Changed Mind",1112.24
410,30047,Yes,2025-08-02,"Late Delivery",1468.59
411,46775,Yes,2023-03-18,"Faulty Product",759.38
412,17240,Yes,2022-01-27,"Late Delivery",1402.96
413,40628,Yes,2023-11-12,"Changed Mind",24.34
414,37890,Yes,2022-09-20,"Wrong Item",1077.40
415,4960,Yes,2022-12-25,Damaged,123.35
416,44174,Yes,2023-09-11,"Wrong Item",354.00
417,27114,Yes,2024-03-19,Damaged,901.06
418,14220,Yes,2023-06-03,Damaged,1185.18
419,23525,Yes,2025-09-27,"Late Delivery",905.04
420,28912,Yes,2025-12-14,"Changed Mind",967.34
421,24598,Yes,2023-06-29,"Changed Mind",912.56
422,44719,Yes,2022-10-31,"Changed Mind",583.27
423,9157,Yes,2024-09-15,"Wrong Item",1784.78
424,13871,Yes,2023-04-24,"Changed Mind",414.83
425,33486,Yes,2025-06-07,"Faulty Product",1249.92
426,37766,Yes,2023-12-24,"Wrong Item",1316.18
427,38176,Yes,2025-08-20,"Faulty Product",1147.74
428,13846,Yes,2023-01-01,Damaged,366.64
429,19479,Yes,2025-05-06,"Faulty Product",874.99
430,6737,Yes,2023-07-06,Damaged,1020.91
431,23533,Yes,2025-02-26,"Changed Mind",236.88
432,49204,Yes,2024-01-26,Damaged,1220.03
433,36302,Yes,2024-03-25,"Wrong Item",252.94
434,22811,Yes,2022-09-20,"Changed Mind",103.58
435,27352,Yes,2023-03-20,Damaged,670.71
436,36556,Yes,2024-08-22,Damaged,885.19
437,19191,Yes,2022-11-29,"Late Delivery",458.59
438,27161,Yes,2025-03-22,"Late Delivery",436.55
439,7885,Yes,2023-04-05,"Wrong Item",315.77
440,42597,Yes,2022-04-06,"Changed Mind",844.61
441,6344,Yes,2024-06-13,"Late Delivery",758.09
442,16975,Yes,2023-10-20,"Wrong Item",637.38
443,13479,Yes,2025-06-22,"Late Delivery",168.16
444,16236,Yes,2025-08-03,"Wrong Item",950.48
445,29603,Yes,2025-09-12,"Changed Mind",1279.55
446,20993,Yes,2022-12-01,"Late Delivery",896.01
447,28169,Yes,2023-12-19,"Wrong Item",774.09
448,18726,Yes,2025-06-26,Damaged,76.58
449,34448,Yes,2024-12-27,"Wrong Item",560.12
450,4451,Yes,2022-05-01,"Changed Mind",1200.74
451,16477,Yes,2024-01-13,Damaged,129.12
452,25732,Yes,2024-01-11,"Changed Mind",1042.23
453,34192,Yes,2022-07-01,Damaged,878.24
454,43625,Yes,2023-11-14,"Late Delivery",1000.55
455,42450,Yes,2022-07-22,"Changed Mind",981.35
456,46990,Yes,2023-07-25,"Faulty Product",479.75
457,35371,Yes,2022-07-24,Damaged,514.38
458,15509,Yes,2022-11-16,"Faulty Product",779.79
459,33353,Yes,2024-02-01,"Wrong Item",66.71
460,41352,Yes,2023-05-15,"Wrong Item",387.78
461,12642,Yes,2023-11-12,"Late Delivery",969.88
462,14018,Yes,2024-12-26,"Wrong Item",1225.65
463,8830,Yes,2025-03-28,"Wrong Item",584.72
464,779,Yes,2022-11-05,"Changed Mind",658.70
465,42959,Yes,2025-12-03,"Faulty Product",759.16
466,17903,Yes,2024-04-09,"Changed Mind",298.95
467,45082,Yes,2024-10-06,"Wrong Item",1288.71
468,20344,Yes,2024-09-03,"Faulty Product",1229.67
469,33008,Yes,2023-07-22,"Late Delivery",604.50
470,21410,Yes,2025-06-26,"Faulty Product",438.65
471,43744,Yes,2022-07-23,"Changed Mind",867.47
472,22437,Yes,2025-06-22,"Changed Mind",783.69
473,33461,Yes,2024-01-08,"Late Delivery",598.85
474,30183,Yes,2022-11-13,"Changed Mind",1665.86
475,31471,Yes,2023-09-28,"Late Delivery",722.56
476,1742,Yes,2023-06-29,"Faulty Product",368.80
477,41903,Yes,2024-09-22,"Changed Mind",597.37
478,41300,Yes,2025-08-16,Damaged,883.10
479,11370,Yes,2024-12-13,"Wrong Item",603.04
480,16598,Yes,2022-01-28,"Faulty Product",805.36
481,10128,Yes,2022-10-17,"Changed Mind",79.73
482,1325,Yes,2022-12-18,Damaged,1550.82
483,4245,Yes,2025-09-12,Damaged,572.94
484,26831,Yes,2025-04-27,Damaged,385.16
485,21615,Yes,2022-07-27,Damaged,286.94
486,15662,Yes,2023-09-27,"Faulty Product",153.14
487,3930,Yes,2023-01-06,"Late Delivery",121.27
488,20383,Yes,2025-12-12,"Late Delivery",450.70
489,23325,Yes,2025-09-18,"Faulty Product",203.99
490,12175,Yes,2023-12-12,"Faulty Product",80.64
491,8694,Yes,2024-12-17,"Wrong Item",1116.74
492,49281,Yes,2024-10-21,"Late Delivery",1255.15
493,34237,Yes,2023-01-28,"Late Delivery",892.81
494,49174,Yes,2024-09-20,Damaged,203.16
495,35769,Yes,2023-09-06,"Wrong Item",862.39
496,28309,Yes,2024-09-28,"Late Delivery",1079.32
497,45248,Yes,2023-12-28,"Faulty Product",608.11
498,44673,Yes,2024-07-03,"Changed Mind",822.21
499,47934,Yes,2023-06-28,Damaged,1551.35
500,33532,Yes,2023-09-26,"Late Delivery",963.16
501,31327,Yes,2024-05-21,"Wrong Item",572.63
502,41419,Yes,2025-03-26,"Late Delivery",184.46
503,47802,Yes,2025-09-21,"Wrong Item",1405.93
504,31860,Yes,2023-04-12,Damaged,225.89
505,23756,Yes,2025-02-20,Damaged,916.20
